intervencion_id,meeting_id,fecha,anio,actor,cargo,grupo_actor,topico,keywords,largo_palabras,flag_cotejo,detalle_cotejo,texto
RPM-2005-01-11:24:1,RPM-2005-01-11,2005-01-11,2005,Jorge Desormeaux Jiménez,Consejero,consejo_votante,mercados_financieros,mercados_financieros,60,False,,"El Consejero señor Desormeaux, en relación a las conclusiones de los antecedentes presentados por el Gerente de Análisis Macroeconómico, señala que un tema que se ha discutido a través del Informe de Política Monetaria, pero que es bueno que se vea de nuevo, es aquel de la evolución del tipo de cambio nominal que tenemos prevista de aquí para adelante."
RPM-2005-01-11:45:1,RPM-2005-01-11,2005-01-11,2005,Rodrigo Valdés Pulido,Gerente de División Estudios,staff_tecnico,opciones_tpm,otros,34,False,,"El señor Rodrigo Valdés señala que hay un proceso de edición de lo que se comunica, y recuerda que en ediciones pasadas, de los últimos meses, sí han habido opciones de 50 puntos base."
RPM-2005-01-11:48:1,RPM-2005-01-11,2005-01-11,2005,Jorge Desormeaux Jiménez,Consejero,consejo_votante,otros,otros,83,False,,"El Consejero señor Desormeaux expresa que resulta conveniente aclarar que mucho antes que se publique la Minuta de esta Acta va a estar disponible el Informe de Política Monetaria, que incursiona mucho más a fondo en todos estos temas y, de este modo, piensa que realmente va a ser dicho documento el que va a recibir el escrutinio público. En su opinión, no le parece que sea esta Acta lo que llame la atención sino que más bien el Informe de Política Monetaria."
RPM-2005-02-10:60:1,RPM-2005-02-10,2005-02-10,2005,Pablo García Silva,Gerente de Análisis Macroeconómico,staff_tecnico,otros,otros,121,False,,"II. Exposición. El Gerente de Análisis Macroeconómico, don Pablo García, en relación con el análisis de los desarrollos económicos y financieros recientes, señala lo siguiente: El entorno macroeconómico presentó algunas modificaciones desde la divulgación del Informe de Política Monetaria, especialmente en lo referido a un mayor crecimiento efectivo del gasto interno y de la actividad en el 2004. Sus tasas de crecimiento han continuado elevadas, estimándose ahora que el PIB del año pasado se habría expandido 5,9%. Estas noticias, sin embargo, son todavía insuficientes como para motivar una revisión significativa del cuadro de proyecciones de mediano plazo. Por el lado de los precios y los costos, la inflación subyacente sigue incrementándose de manera gradual, a un ritmo muy cercano al previsto."
RPM-2005-02-10:73:1,RPM-2005-02-10,2005-02-10,2005,Vittorio Corbo Lioi,Presidente del Banco Central,consejo_votante,otros,otros,16,False,,"El presidente don Vittorio Corbo, consulta si hay algún otro comentario en relación al escenario externo."
RPM-2005-02-10:87:1,RPM-2005-02-10,2005-02-10,2005,Pablo García Silva,Gerente de Análisis Macroeconómico,staff_tecnico,otros,otros,65,False,,"En relación a lo anterior, el señor Gerente de Análisis Macroeconómico hace presente que la tasa de participación ha subido en torno a un punto porcentual en seis meses, lo cual es completamente inusual en el largo plazo. Agrega que han habido períodos de movimientos de esa magnitud tanto a la baja como al alza y, en esta ocasión, se aprecia un incremento bastante fuerte."
RPM-2005-02-10:118:1,RPM-2005-02-10,2005-02-10,2005,Consejo del Banco Central de Chile,Consejo,consejo_entidad,apertura_cierre,apertura_cierre,24,False,,"Siendo las 16:10 horas, se reanuda la Sesión de Política Monetaria N° 74, con la participación de los mismos asistentes indicados en la comparecencia."
RPM-2005-02-10:121:1,RPM-2005-02-10,2005-02-10,2005,Rodrigo Valdés Pulido,Gerente de División Estudios,staff_tecnico,opciones_tpm,otros,610,False,,"5. En principio, los antecedentes acumulados son coherentes con mantener la estrategia de normalización pausada de la política monetaria aplicada desde septiembre pasado, pues ellos parecen insuficientes para modificar de manera significativa el escenario macroeconómico más probable. Sin embargo, si el escenario alternativo de persistencia de las noticias positivas de actividad sigue cobrando importancia, se podría justificar aumentar levemente el ritmo de normalización, aumento que en todo caso podría seguir siendo gradual, en la medida que las presiones inflacionarias actuales se mantengan acotadas. Por lo tanto, las novedades permiten descartar la idea de reducir el ritmo de normalización porque, mientras la inflación siga un curso como el previsto, la situación de mayor crecimiento implicará un mayor uso de las holguras de capacidad que lo anticipado en las proyecciones. 6. Como se ha discutido en otras oportunidades, en esta estrategia de normalización pausada de la política monetaria tienen cabida tanto alzas sucesivas durante algunos meses como pausas en otros, siendo la acumulación de antecedentes mes a mes un elemento fundamental para definir el ritmo preciso. Así, luego de un mes en que se aumentó la tasa de política monetaria, en la estrategia de normalización pausada tienen cabida tanto la mantención de la tasa de política monetaria en esta reunión como un aumento de 25 puntos base. 7. La mayoría de los antecedentes coyunturales apoya un nuevo aumento de tasa de política monetaria en esta reunión. Como se ha visto, por el lado de la inflación efectiva hay relativamente pocas novedades, mientras que el mayor uso de las holguras de capacidad estaría progresando más rápidamente que lo previsto. A ello se suman mejores indicadores de expectativas de hogares y empresas. En este cuadro resulta recomendable continuar transitando hacia una política monetaria más neutral desde el actual nivel considerablemente expansivo, de manera de asegurar que, dados los rezagos que tiene dicha política, el estímulo monetario sea coherente con una inflación proyectada en 3% en el horizonte habitual de política de 12 a 24 meses. 8. Ahora bien, también sería posible justificar mantener la tasa de política monetaria en su nivel actual si se evaluara que detrás del mayor crecimiento existe una expansión especialmente vigorosa del producto potencial, comparable a la del producto efectivo — y, por lo tanto, un cierre de brechas menos pronunciado— y se ponderara más el reducido aumento de los costos laborales. Ambos efectos atenuarían las futuras presiones de precios. La validez de este cuadro, sin embargo, puede ser contrastada con el comportamiento de las medidas de la tendencia inflacionaria, las que deberían mostrar algún grado de estancamiento si las holguras efectivamente fuesen elevadas y persistentes. Aunque las medidas mencionadas siguen aumentando lentamente, todas ellas van en la misma dirección por alrededor de varios meses. 9. En la presente reunión, los elementos tácticos tienen mayor importancia que la habitual. Al respecto cabe considerar, que en los últimos meses la gradualidad del proceso de normalización se ha asociado con pausas en los cambios de la tasa de política monetaria mes por medio. Esta situación ha sido relativamente incorporada en la estructura de precios financieros prevaleciente y, en esta oportunidad, una mayoría relativa del mercado no espera un cambio en la tasa de política monetaria. En efecto, la encuesta a analistas del Banco Central de Chile reveló un expectativa mayoritaria de mantención de la tasa (aunque su fecha de cierre fue previa a la divulgación del Imacec), y las encuestas de los servicios informativos realizadas en el día de ayer también dan cuenta de una expectativa mayoritaria por la mantención de la misma. Un alza sucesiva rompería la secuencia descrita y, posiblemente, sería percibida como un leve aumento del ritmo de normalización."
RPM-2005-02-10:124:1,RPM-2005-02-10,2005-02-10,2005,Klaus Schmidt-Hebbel Dunker,Gerente de Investigación Económica,staff_tecnico,apertura_cierre,actividad_interna,375,False,,"El Gerente de Investigación Económica, señor Klaus Schmidt-Hebbel, manifiesta que con una intensidad algo más pronunciada que en un mes promedio, se han presentado novedades en dos áreas de relevancia para la política: los términos de intercambio y la actividad y el gasto doméstico. Ambas van en la misma dirección, al reforzar la probabilidad de realización del escenario de riesgo de un mayor crecimiento en los años 2005 y 2006. Aunque una parte importante del mayor gasto es explicada por una mayor inversión, es altamente improbable el correspondiente ajuste hacia arriba en la trayectoria proyectada del producto efectivo. Es simplemente muy improbable, empíricamente, que la brecha del producto se comporte en forma anticíclica o que coincida un aumento del punto base de tendencia con una depresión cíclica. Respecto de la tasa de participación laboral, que está creciendo aceleradamente, tampoco se dispone aún de una descomposición de su aumento en sus componentes cíclico y estructural. Por todo lo anterior, los antecedentes disponibles hacen inferir que sea más probable que la brecha del producto se vaya cerrando durante los años 2005-2006 en forma más rápida de lo anticipado hace un mes. Pero aunque esta aceleración en el cierre de brecha no se verificara, cabe recordar que el escenario base del Banco, reflejado en el Informe de Política Monetaria y en los antecedentes presentados esta mañana, que siguen siendo inalterados, conlleva a un cierre completo de la brecha del producto en el tercer trimestre de 2006, vale decir, en 18 meses más. Consistente con dicha proyección, y con las proyecciones de inflación y del producto publicadas en el Informe de Política Monetaria, se proyecta una normalización de la tasa de política monetaria, llegando a 5,0% a fines de este año, en el cuarto trimestre de 2005, 6,6% en el cuarto trimestre de 2006, alcanzando una tasa de política monetaria neutral de 7,5% en el cuarto trimestre de 2007. Este ritmo de normalización de la tasa, subyacente en las proyecciones del Banco inalteradas hasta la fecha, requiere elevar la tasa de política monetaria, condicional a la información de enero de 2005, en un promedio de 25 puntos base cada mes hasta fines de este año, y en un promedio de 13 puntos base cada mes durante el año 2006."
RPM-2005-03-10:165:1,RPM-2005-03-10,2005-03-10,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,ministro_hacienda,inflacion,inflacion,68,False,,"Señala el señor Ministro que si las explicaciones al alto nivel del tipo de cambio real corresponden a la primera o a la segunda hipótesis, parecería que tendremos mayores niveles inflacionarios que en otros ciclos, lo que puede ser bueno porque el tipo de cambio real se apreciaría menos. Si fuera la tercera hipótesis, significaría que habría que esperar más apreciación cambiaria conforme sigamos acercándonos al producto potencial."
