anio,grupo_actor,n_muestra
2005,consejo_entidad,2
2005,consejo_votante,8
2005,ministro_hacienda,3
2005,staff_tecnico,7
2006,consejo_entidad,2
2006,consejo_votante,9
2006,ministro_hacienda,2
2006,staff_tecnico,7
2007,consejo_entidad,2
2007,consejo_votante,11
2007,ministro_hacienda,2
2007,staff_tecnico,8
2008,consejo_entidad,2
2008,consejo_votante,14
2008,ministro_hacienda,3
2008,staff_tecnico,9
2009,consejo_entidad,3
2009,consejo_votante,14
2009,ministro_hacienda,3
2009,staff_tecnico,13
2010,consejo_entidad,2
2010,consejo_votante,27
2010,ministro_hacienda,2
2010,staff_tecnico,14
2011,consejo_entidad,2
2011,consejo_votante,15
2011,ministro_hacienda,2
2011,staff_tecnico,12
2012,consejo_entidad,2
2012,consejo_votante,13
2012,ministro_hacienda,2
2012,staff_tecnico,9
2013,consejo_entidad,3
2013,consejo_votante,13
2013,ministro_hacienda,2
2013,staff_tecnico,7
2014,consejo_entidad,3
2014,consejo_votante,12
2014,ministro_hacienda,2
2014,staff_tecnico,7
2015,consejo_entidad,3
2015,consejo_votante,12
2015,ministro_hacienda,2
2015,staff_tecnico,8
