intervencion_id,tipo,cita_original,cita_reparada
RPM-2011-07-14:4212:1,elipsis_no_literal_retirada,"Con todo, estima que sigue vigente la evaluación de que se debe continuar con el ajuste monetario. De hecho, indica que el mejor panorama inflacionario y la reducción de las expectativas, con sus consecuencias sobre la inflación actual, constituyen, en gran medida, los resultados de la política m...","Con todo, estima que sigue vigente la evaluación de que se debe continuar con el ajuste monetario. De hecho, indica que el mejor panorama inflacionario y la reducción de las expectativas, con sus consecuencias sobre la inflación actual, constituyen, en gran medida, los resultados de la política m"
RPM-2008-01-10:1639:1,elipsis_no_literal_retirada,"se suma a la votación de los señores Consejeros, en el sentido de aumentar la Tasa de Política Monetaria en 25 puntos base. Agrega, que sin perjuicio de lo anterior, quiere manifestar que entendiendo que no existe un acuerdo previo del Consejo respecto a decisiones futuras, quiere recalcar lo señ...","se suma a la votación de los señores Consejeros, en el sentido de aumentar la Tasa de Política Monetaria en 25 puntos base. Agrega, que sin perjuicio de lo anterior, quiere manifestar que entendiendo que no existe un acuerdo previo del Consejo respecto a decisiones futuras, quiere recalcar lo señ"
RPM-2014-08-14:6389:4,elipsis_no_literal_retirada,"el Consejo del Banco Central de Chile acordó reducir la tasa de interés de política monetaria en 25 puntos base, a 3,5% anual. Al concluir la Reunión, se procede a dar lectura al texto del Comunicado, que es del siguiente tenor: Comunicado “En su reunión mensual de política monetaria, el Consejo ...","el Consejo del Banco Central de Chile acordó reducir la tasa de interés de política monetaria en 25 puntos base, a 3,5% anual. Al concluir la Reunión, se procede a dar lectura al texto del Comunicado, que es del siguiente tenor: Comunicado “En su reunión mensual de política monetaria, el Consejo"
RPM-2007-08-09:1385:1,elipsis_no_literal_retirada,"las expectativas de movimiento de política monetaria en Europa se vieron modificadas justamente por las turbulencias producidas en esa zona. Indica que ayer se consideraban dos aumentos de tasa, y hoy día hay uno que se confirma y que está bien asentado para septiembre, pero el segundo aumento ti...","las expectativas de movimiento de política monetaria en Europa se vieron modificadas justamente por las turbulencias producidas en esa zona. Indica que ayer se consideraban dos aumentos de tasa, y hoy día hay uno que se confirma y que está bien asentado para septiembre, pero el segundo aumento ti"
RPM-2013-03-14:5451:1,elipsis_no_literal_retirada,"En consecuencia, resalta que se mantiene un puzzle de política, por cuanto coexisten elementos importantes que recomendarían subir la tasa de interés y otros elementos también relevantes que aconsejarían reducirla. En este contexto, expresa que su voto es por mantener la tasa rectora en su nivel ...","En consecuencia, resalta que se mantiene un puzzle de política, por cuanto coexisten elementos importantes que recomendarían subir la tasa de interés y otros elementos también relevantes que aconsejarían reducirla. En este contexto, expresa que su voto es por mantener la tasa rectora en su nivel"
RPM-2012-02-14:4653:1,elipsis_no_literal_retirada,"manifiesta que se inclina en esta oportunidad por mantener la TPM en su actual nivel de 5% anual. En su opinión, ello es coherente con los mensajes previos, a la vez que muestra cierta cautela en cuanto a que no es evidente que el espacio para seguir con el proceso de relajamiento monetario sea d...","manifiesta que se inclina en esta oportunidad por mantener la TPM en su actual nivel de 5% anual. En su opinión, ello es coherente con los mensajes previos, a la vez que muestra cierta cautela en cuanto a que no es evidente que el espacio para seguir con el proceso de relajamiento monetario sea d"
RPM-2007-04-12:1217:1,elipsis_no_literal_retirada,"Por estas razones, en esta oportunidad, quiere que su voto se sume a la mayoría, aún cuando su instinto es que el escenario central del Informe de Política Monetaria de enero sigue siendo el más relevante. Por último señala que también desearía que, en esta oportunidad, el comunicado vaya sin ses...","Por estas razones, en esta oportunidad, quiere que su voto se sume a la mayoría, aún cuando su instinto es que el escenario central del Informe de Política Monetaria de enero sigue siendo el más relevante. Por último señala que también desearía que, en esta oportunidad, el comunicado vaya sin ses"
RPM-2012-07-12:4945:1,elipsis_no_literal_retirada,"si la proyección de inflación contenida en el IPoM de marzo último, que era cercana al 3,5%, se ha reducido a 2%, significa, de acuerdo con el principio de Taylor, que para efectos de la tasa de política monetaria, la referida política sería ahora menos expansiva, en razón de que la tasa real se ...","si la proyección de inflación contenida en el IPoM de marzo último, que era cercana al 3,5%, se ha reducido a 2%, significa, de acuerdo con el principio de Taylor, que para efectos de la tasa de política monetaria, la referida política sería ahora menos expansiva, en razón de que la tasa real se"
RPM-2012-01-12:4524:1,elipsis_no_literal_retirada,"algunas economías, como Suecia, Noruega, Dinamarca y Rusia, han continuado con el proceso de relajamiento; que otras han optado por mantenerla luego de haber acordado recortes; y que destacan Israel, República Checa, India, Estados Unidos y Japón, cuyas tasas están en niveles mínimos hace ya vari...","algunas economías, como Suecia, Noruega, Dinamarca y Rusia, han continuado con el proceso de relajamiento; que otras han optado por mantenerla luego de haber acordado recortes; y que destacan Israel, República Checa, India, Estados Unidos y Japón, cuyas tasas están en niveles mínimos hace ya vari"
RPM-2009-01-08:2261:1,elipsis_no_literal_retirada,"el esquema de políticas económicas chileno, entre ellas la política monetaria, cambiaria y la política fiscal basada en reglas, está orientado y tiene la capacidad de ser utilizado como herramienta contracíclica, en especial, ante un shock como el actual, de origen exógeno y magnitud muy signific...","El esquema de políticas económicas chileno, entre ellas la política monetaria, cambiaria y la política fiscal basada en reglas, está orientado y tiene la capacidad de ser utilizado como herramienta contracíclica, en especial, ante un shock como el actual, de origen exógeno y magnitud muy signific"
RPM-2014-10-16:6468:1,elipsis_no_literal_retirada,"en términos generales, las noticias no se han apartado de manera sustantiva del IPoM del mes de septiembre, donde el Consejo consideró —y así lo comunicó— que el fin del ciclo de recortes de la TPM estaba próximo, generando un aumento de las tasas de interés de mediano y largo plazo, que habían a...","en términos generales, las noticias no se han apartado de manera sustantiva del IPoM del mes de septiembre, donde el Consejo consideró —y así lo comunicó— que el fin del ciclo de recortes de la TPM estaba próximo, generando un aumento de las tasas de interés de mediano y largo plazo, que habían a"
RPM-2015-04-16:6749:1,elipsis_no_literal_retirada,"manifiesta su concordancia con el mensaje entregado en dicho documento en cuanto a que una trayectoria estable de la TPM en los próximos meses es, en estas circunstancias, la única opción válida. En mérito de los fundamentos expuestos, el Consejero señor Sebastián Claro manifiesta que su voto es ...","manifiesta su concordancia con el mensaje entregado en dicho documento en cuanto a que una trayectoria estable de la TPM en los próximos meses es, en estas circunstancias, la única opción válida. En mérito de los fundamentos expuestos, el Consejero señor Sebastián Claro manifiesta que su voto es"
RPM-2006-07-13:744:2,elipsis_no_literal_retirada,"la volatilidad en los mercados financieros se ha reducido de manera significativa, tras la incertidumbre experimentada hace unas semanas atrás. Sin embargo, los indicadores financieros de las economías emergentes se han estabilizado en niveles menos positivos de los que se observaban a inicios de...","la volatilidad en los mercados financieros se ha reducido de manera significativa, tras la incertidumbre experimentada hace unas semanas atrás. Sin embargo, los indicadores financieros de las economías emergentes se han estabilizado en niveles menos positivos de los que se observaban a inicios de"
RPM-2013-12-12:5951:1,elipsis_no_literal_retirada,"considerando los rezagos con que opera la política monetaria, resulta razonable continuar con el ciclo de reducción de la tasa rectora. En este sentido, la inflación se encuentra aún por debajo del rango de tolerancia y con este movimiento se contribuiría a contrarrestar la debilidad de la demand...","considerando los rezagos con que opera la política monetaria, resulta razonable continuar con el ciclo de reducción de la tasa rectora. En este sentido, la inflación se encuentra aún por debajo del rango de tolerancia y con este movimiento se contribuiría a contrarrestar la debilidad de la demand"
RPM-2014-06-12:6278:1,elipsis_no_literal_retirada,"las expectativas de mercado para la Tasa de Política Monetaria se ajustaron a la baja, y que la mayoría de los encuestados estiman que se realizarán recortes adicionales de 50 puntos base, similar a lo que se desprende de los precios de los activos financieros, aunque para esta Reunión no se anti...","las expectativas de mercado para la Tasa de Política Monetaria se ajustaron a la baja, y que la mayoría de los encuestados estiman que se realizarán recortes adicionales de 50 puntos base, similar a lo que se desprende de los precios de los activos financieros, aunque para esta Reunión no se anti"
RPM-2008-10-09:2127:1,elipsis_no_literal_retirada,"Aunque la trayectoria futura de la TPM en el escenario base del último Informe de Política Monetaria contempla ajustes adicionales para asegurar la convergencia de la inflación a la meta, el Consejo evaluará en sus futuras decisiones las implicancias que se derivan de los desarrollos financieros ...","Aunque la trayectoria futura de la TPM en el escenario base del último Informe de Política Monetaria contempla ajustes adicionales para asegurar la convergencia de la inflación a la meta, el Consejo evaluará en sus futuras decisiones las implicancias que se derivan de los desarrollos financieros"
RPM-2010-05-13:3107:2,capitalizacion_repuesta_desde_texto,"en su opinión, ello podría obedecer a que los bancos locales no tienen contemplado vender los bonos todavía, sino que tal vez en un tiempo más, ya que estiman que las tasas largas van a seguir cayendo, vendiendo sus depósitos mientras tanto.","En su opinión, ello podría obedecer a que los bancos locales no tienen contemplado vender los bonos todavía, sino que tal vez en un tiempo más, ya que estiman que las tasas largas van a seguir cayendo, vendiendo sus depósitos mientras tanto."
RPM-2011-04-12:3967:1,elipsis_no_literal_retirada,"se deduce con claridad la necesidad de proseguir con la normalización de la política monetaria. El Consejero señor Enrique Marshall declara coincidir con las opciones que presenta la Minuta de Opciones de la Gerencia de División Estudios y concuerda, al mismo tiempo, con que un alza de 50 puntos ...","se deduce con claridad la necesidad de proseguir con la normalización de la política monetaria. El Consejero señor Enrique Marshall declara coincidir con las opciones que presenta la Minuta de Opciones de la Gerencia de División Estudios y concuerda, al mismo tiempo, con que un alza de 50 puntos"
RPM-2012-05-17:4848:1,elipsis_no_literal_retirada,"en opinión del Presidente señor Rodrigo Vergara, la opción de mantener la tasa de interés rectora es lo apropiado en esta oportunidad. Sostiene al efecto que los riesgos del escenario externo son elevados, mayores que en los últimos meses, a la vez que las cifras y expectativas de inflación están...","En opinión del Presidente señor Rodrigo Vergara, la opción de mantener la tasa de interés rectora es lo apropiado en esta oportunidad. Sostiene al efecto que los riesgos del escenario externo son elevados, mayores que en los últimos meses, a la vez que las cifras y expectativas de inflación están"
RPM-2007-11-13:1544:2,elipsis_no_literal_retirada,"la reacción de política monetaria se hace significativa solamente cuando el shock es muy permanente con una disminución de 50 puntos base respecto del escenario central, mientras que si el shock es algo más transitorio, podría justificarse una disminución cercana a 25 puntos base, aunque esto no ...","la reacción de política monetaria se hace significativa solamente cuando el shock es muy permanente con una disminución de 50 puntos base respecto del escenario central, mientras que si el shock es algo más transitorio, podría justificarse una disminución cercana a 25 puntos base, aunque esto no"
RPM-2014-09-11:6395:1,transcripcion_repuesta_desde_texto,"el Banco Central Europeo a adoptar nuevas bajas de tasas y a comprar activos. En segundo lugar, comenta que las tasas de interés de largo plazo aumentaron levemente en Estados Unidos de América, mientras que en Europa no registraron mayor variación.","al Banco Central Europeo a adoptar nuevas bajas de tasas y a comprar activos. En segundo lugar, comenta que las tasas de interés de largo plazo aumentaron levemente en Estados Unidos de América, mientras que en Europa no registraron mayor variación."
RPM-2014-03-13:6062:1,capitalizacion_repuesta_desde_texto,"en su opinión, el actual nivel de nuestras tasas de interés de largo plazo aumentan el riesgo en algún grado, razón por la que plantea la conveniencia de analizar los elementos que explican dicho nivel","En su opinión, el actual nivel de nuestras tasas de interés de largo plazo aumentan el riesgo en algún grado, razón por la que plantea la conveniencia de analizar los elementos que explican dicho nivel"
RPM-2009-10-13:2754:1,capitalizacion_repuesta_desde_texto,"es por ello que vota por mantener la TPM en 0,5%.","Es por ello que vota por mantener la TPM en 0,5%."
RPM-2012-12-13:5233:1,capitalizacion_repuesta_desde_texto,"en lo concerniente a política monetaria, destaca el predominio de la mantención de las tasas rectoras en los países analizados habitualmente; las reducciones de 25 puntos base acordadas en Australia, Hungría y Colombia; y en materia de medidas de estímulo, el anuncio del QE4 en Estados Unidos","En lo concerniente a política monetaria, destaca el predominio de la mantención de las tasas rectoras en los países analizados habitualmente; las reducciones de 25 puntos base acordadas en Australia, Hungría y Colombia; y en materia de medidas de estímulo, el anuncio del QE4 en Estados Unidos"
RPM-2009-07-09:2646:2,transcripcion_repuesta_desde_texto,concuerda con los planteamientos acerca de la necesidad de impulsar hacia abajo la curva de retorno libre de riesgo dado por restricciones al nivel mínimo de la tasa de política overnight discutido en vanas reuniones.,concuerda también con los planteamientos acerca de la necesidad de impulsar hacia abajo la curva de retorno libre de riesgo dado por restricciones al nivel mínimo de la tasa de política overnight discutido en vanas re
RPM-2013-10-17:5856:1,capitalizacion_repuesta_desde_texto,"en este contexto, considera que las opciones que ha presentado la Gerencia de División Estudios en esta oportunidad son las más razonables.","En este contexto, considera que las opciones que ha presentado la Gerencia de División Estudios en esta oportunidad son las más razonables."
RPM-2009-08-13:2686:1,elipsis_no_literal_retirada,"el Vicepresidente, señor Jorge Desormeaux, vota a favor de mantener la TPM en su nivel actual de 0,50% y manifiesta estar disponible para sumarse a una decisión en favor de una ampliación del estímulo monetario, a través de una recompra de papeles del Banco Central a plazos de dos años o más, si ...","el Vicepresidente, señor Jorge Desormeaux, vota a favor de mantener la TPM en su nivel actual de 0,50% y manifiesta estar disponible para sumarse a una decisión en favor de una ampliación del estímulo monetario, a través de una recompra de papeles del Banco Central a plazos de dos años o más, si"
RPM-2006-04-13:652:1,capitalizacion_repuesta_desde_texto,"en consecuencia, el Consejero señor Manuel Marfán vota por elevar la tasa de política monetaria en 25 puntos base.","En consecuencia, el Consejero señor Manuel Marfán vota por elevar la tasa de política monetaria en 25 puntos base."
RPM-2007-05-10:1239:1,capitalizacion_repuesta_desde_texto,"en su opinión, en los próximos doce meses existirán entre dos y tres alzas y en consecuencia, se estaría llegando muy cerca de la tasa neutral","En su opinión, en los próximos doce meses existirán entre dos y tres alzas y en consecuencia, se estaría llegando muy cerca de la tasa neutral"
RPM-2013-02-14:5397:1,elipsis_no_literal_retirada,"tanto la inflación como sus medidas subyacentes se ubican por debajo del piso del rango de tolerancia del Banco Central de Chile, que las expectativas de mercado apuntan a que esta situación se mantendrá por un tiempo prolongado, mientras que las expectativas de mediano plazo se mantienen anclada...","tanto la inflación como sus medidas subyacentes se ubican por debajo del piso del rango de tolerancia del Banco Central de Chile, que las expectativas de mercado apuntan a que esta situación se mantendrá por un tiempo prolongado, mientras que las expectativas de mediano plazo se mantienen anclada"
RPM-2010-12-16:3586:1,capitalizacion_repuesta_desde_texto,"en relación con el ritmo de normalización de las TPM, el señor Sergio Lehmann reitera que se ha observado una cierta moderación en los movimientos, dentro de lo esperado; que un reducido número de economías ha aumentado sus tasas, y que la mayoría ha tendido a detener sus procesos de normalización.","En relación con el ritmo de normalización de las TPM, el señor Sergio Lehmann reitera que se ha observado una cierta moderación en los movimientos, dentro de lo esperado; que un reducido número de economías ha aumentado sus tasas, y que la mayoría ha tendido a detener sus procesos de normalización."
