meeting_id,fecha,anio,acuerdo_accion,acuerdo_magnitud_pb,acuerdo_tpm_objetivo,acuerdo_sesgo,acuerdo_tipo_textual,acuerdo_intervencion_id,acuerdo_orden_habla,acuerdo_subindice,acuerdo_fragmento,acuerdo_texto
RPM-2005-01-11,2005-01-11,2005,subir,,2.5,,unanimidad,RPM-2005-01-11:56:1,56,1,"72-01-050111 - tasa de politica monetaria. se acuerda aumentar la tasa de interes de politica monetaria a 2,5% anual. los tramos de la linea de credito de liquidez se mantienen en el mismo nivel.","72-01-050111 - Tasa de Política Monetaria. Se acuerda aumentar la tasa de interés de política monetaria a 2,5% anual. Los tramos de la línea de crédito de liquidez se mantienen en el mismo nivel."
RPM-2005-02-10,2005-02-10,2005,subir,,2.75,,unanimidad,RPM-2005-02-10:138:1,138,1,"ros, adopta el siguiente acuerdo: 74-01-050210 - tasa de politica monetaria. se acuerda aumentar la tasa de interes de politica monetaria a 2,75% anual. siendo las 16.52 hrs. se retira de la sala el senor ministro subrogante, senor mario marcel cullell.","En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 74-01-050210 - Tasa de Política Monetaria. Se acuerda aumentar la tasa de interés de política monetaria a 2,75% anual. Siendo las 16.52 hrs. se retira de la Sala el señor Ministro Subrogante, señor Mario Marcel Cullell."
RPM-2005-03-10,2005-03-10,2005,mantener,0.0,2.75,,unanimidad,RPM-2005-03-10:199:1,199,1,"ros, adopta el siguiente acuerdo: 75-01-050310 - tasa de politica monetaria. se acuerda mantener la tasa de interes de politica monetaria en 2,75% anual. los tramos de la linea de credito de liquidez se mantienen en el mismo nivel. siendo las 17.00 hrs. se retiran de la sala el senor ministro de hacienda, senor nicolas eyzaguirre guzman y la asesora macroeconomica del ministerio de hacienda, senora bernardita piedrabuena keymer.","En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 75-01-050310 - Tasa de Política Monetaria. Se acuerda mantener la tasa de interés de política monetaria en 2,75% anual. Los tramos de la línea de crédito de liquidez se mantienen en el mismo nivel. Siendo las 17.00 hrs. se retiran de la Sala el señor Ministro de Hacienda, señor Nicolás Eyzaguirre Guzmán y la Asesora Macroeconómica del Ministerio de Hacienda, señora Bernardita Piedrabuena Keymer."
RPM-2005-04-07,2005-04-07,2005,subir,25.0,3.0,,unanimidad,RPM-2005-04-07:219:2,219,2,"ado “ en su reunion mensual de politica monetaria, el consejo del banco central resolvio, por unanimidad, aumentar la tasa de interes de politica monetaria en 25 puntos base hasta 3% anual. la informacion disponible muestra que el gasto continua exhibiendo una expansion robusta, en tanto que el crecimiento de la actividad sigue siendo solido, aunque con una intensidad un poco menor que en trimestres pasados. este escenario se ve apoyado por condiciones monetarias en chile que continuan siendo claramente expansivas y por un entorno internacional favorable, pero cuyos riesgos","En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 76-01-050407-Tasa de Política Monetaria. Se acuerda aumentar la tasa de interés de política monetaria en 25 puntos base hasta 3% anual. Comunicado “ En su reunión mensual de política monetaria, el Consejo del Banco Central resolvió, por unanimidad, aumentar la tasa de interés de política monetaria en 25 puntos base hasta 3% anual. La información disponible muestra que el gasto continúa exhibiendo una expansión robusta, en tanto que el crecimiento de la actividad sigue siendo sólido, aunque con una intensidad un poco menor que en trimestres pasados. Este escenario se ve apoyado por condiciones monetarias en Chile que continúan siendo claramente expansivas y por un entorno internacional favorable, pero cuyos riesgos se han incrementado. La información de precios más reciente indica que las distintas mediciones de la tendencia inflacionaria actual han seguido aumentando gradualmente, en línea con las proyecciones del último Informe de Política Monetaria. A ello se agrega cierta volatilidad en la inflación mensual, provocada por los aumentos en el precio internacional del petróleo a través de efectos directos y de precios regulados, situación que probablemente se mantenga en el corto plazo. La tendencia de la inflación y el estímulo monetario actual hacen recomendable aumentar la tasa de interés de política. Este ajuste reduce el riesgo de movimientos abruptos en el futuro y es coherente con el proceso de normalización de la política monetaria y las buenas perspectivas de la economía nacional. El Consejo reitera su compromiso de ajustar la política monetaria de manera de mantener una trayectoria para la inflación esperada en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses. En el escenario más probable, esto involucra aumentos pausados de la tasa de política.”"
RPM-2005-05-12,2005-05-12,2005,subir,25.0,3.25,,unanimidad,RPM-2005-05-12:278:1,278,1,"cado “en su reunion mensual de politica monetaria, el consejo del banco central resolvio, por unanimidad, aumentar la tasa de interes de politica monetaria en 25 puntos base hasta 3,25% anual. los antecedentes disponibles muestran que el crecimiento de la actividad, aunque mas atenuado que en trimestres pasados, sigue siendo superior a su tendencia. la inversion, el consumo y el empleo continuan creciendo apoyados por condiciones monetarias internas claramente expansivas y por un entorno internacional favorable, pero cuyos riesgos se mantienen elevados. la informacion de pr","En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 77-01-050512 - Tasa de Política Monetaria. Se acuerda aumentar la tasa de interés de política monetaria en 25 puntos base hasta 3,25% anual. Siendo las 17.00 hrs. se retiran de la Sala el señor Ministro de Hacienda, señor Nicolás Eyzaguirre Guzmán y la Asesora Macroeconómica del Ministerio de Hacienda, señora Bernardita Piedrabuena Keymer. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central resolvió, por unanimidad, aumentar la tasa de interés de política monetaria en 25 puntos base hasta 3,25% anual. Los antecedentes disponibles muestran que el crecimiento de la actividad, aunque más atenuado que en trimestres pasados, sigue siendo superior a su tendencia. La inversión, el consumo y el empleo continúan creciendo apoyados por condiciones monetarias internas claramente expansivas y por un entorno internacional favorable, pero cuyos riesgos se mantienen elevados. La información de precios más reciente indica que, más allá de movimientos inusuales en precios específicos y la incidencia directa que tiene el aumento del precio del petróleo, la tendencia inflacionaria sigue aumentando gradualmente, en línea con lo previsto. Cabe destacar que, no obstante el incremento de los salarios por hora observado en los últimos meses, los costos laborales unitarios se mantienen estables. Este aumento de la tasa de interés es coherente con el ritmo de normalización pausada iniciada en septiembre pasado, refleja las buenas perspectivas de la economía nacional, y reduce el riesgo de movimientos abruptos en el futuro. El Consejo reitera su compromiso de conducir la política monetaria de manera de mantener una trayectoria para la inflación esperada en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses.” El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 17.50 horas."
RPM-2005-06-09,2005-06-09,2005,mantener,0.0,3.25,,unanimidad,RPM-2005-06-09:294:2,294,2,"cado “en su reunion mensual de politica monetaria, el consejo del banco central resolvio, por unanimidad, mantener la tasa de interes de politica monetaria en 3,25%. la informacion disponible muestra que la inflacion y la actividad economica exhiben un comportamiento coherente con el panorama previsto en el ultimo informe de politica monetaria. el crecimiento del producto sigue siendo superior a su tendencia, apoyado por un entorno internacional favorable y por condiciones monetarias en chile que continuan siendo claramente expansivas. en linea con lo previsto, la tendencia","En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 79-01-050609 - Tasa de Política Monetaria. En su reunión mensual de política monetaria, el Consejo del Banco Central resolvió, por unanimidad, mantener la tasa de interés de política monetaria en 3,25% anual. Siendo las 16.30 hrs. se retiran de la Sala el señor Ministro de Hacienda, señor Nicolás Eyzaguirre Guzmán y la Asesora Macroeconómica del Ministerio de Hacienda, señora Bernardita Piedrabuena Keymer. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central resolvió, por unanimidad, mantener la tasa de interés de política monetaria en 3,25%. La información disponible muestra que la inflación y la actividad económica exhiben un comportamiento coherente con el panorama previsto en el último Informe de Política Monetaria. El crecimiento del producto sigue siendo superior a su tendencia, apoyado por un entorno internacional favorable y por condiciones monetarias en Chile que continúan siendo claramente expansivas. En línea con lo previsto, la tendencia inflacionaria sigue aumentando gradualmente, no obstante los vaivenes que originan los cambios de los precios de los combustibles y algunas tarifas reguladas sobre la inflación del IPC y del IPCX (que excluye los combustibles y bienes perecibles). Los costos laborales unitarios se mantienen contenidos, a pesar del mayor incremento de los salarios por hora. La decisión de mantener la Tasa de Política Monetaria en esta oportunidad no modifica la expectativa de reducción pausada del impulso monetario. El Consejo estima que esta estrategia permite alcanzar, en el escenario más probable, una inflación en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses.”"
RPM-2005-07-12,2005-07-12,2005,subir,25.0,3.5,,unanimidad,RPM-2005-07-12:310:3,310,3,"ado “ en su reunion mensual de politica monetaria, el consejo del banco central acordo aumentar la tasa de interes de politica monetaria en 25 puntos base, hasta 3,5% anual. la informacion disponible muestra que el crecimiento de la actividad sigue siendo superior a su tendencia, apoyado por condiciones monetarias en chile que continuan siendo claramente expansivas y por un entorno internacional favorable, pese a los elevados precios del petroleo. la inversion ha seguido creciendo con inesperado vigor, mientras el empleo ha aumentado a tasas elevadas, lo que favorece el din","En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 80-01-050712-Tasa de Política Monetaria. En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 3,5% anual. Comunicado “ En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 3,5% anual. La información disponible muestra que el crecimiento de la actividad sigue siendo superior a su tendencia, apoyado por condiciones monetarias en Chile que continúan siendo claramente expansivas y por un entorno internacional favorable, pese a los elevados precios del petróleo. La inversión ha seguido creciendo con inesperado vigor, mientras el empleo ha aumentado a tasas elevadas, lo que favorece el dinamismo del consumo. La inflación mensual del IPC ha sido mayor que lo proyectado en el último Informe de Política Monetaria, por la incidencia de alzas en los precios de los combustibles, de ciertas tarifas reguladas y en los precios de algunos bienes perecibles. Sin embargo, la tendencia inflacionaria sigue aumentando gradualmente, en línea con lo previsto. El Consejo reitera su compromiso de conducir la política monetaria de manera de mantener una trayectoria para la inflación esperada en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses.”"
RPM-2005-08-11,2005-08-11,2005,subir,25.0,3.75,,unanimidad,RPM-2005-08-11:366:1,366,1,"cado “en su reunion mensual de politica monetaria, el consejo del banco central acordo aumentar la tasa de interes de politica monetaria en 25 puntos base hasta 3,75% anual. la informacion disponible muestra que el crecimiento de la actividad sigue siendo superior a su tendencia y el gasto interno se expande de manera robusta. el entorno internacional se mantiene favorable, a pesar de que el precio del petroleo ha continuado aumentando. en el ambito interno, las condiciones monetarias continuan siendo claramente expansivas y la inversion sigue creciendo vigorosamente. el em","En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 81-01-050811 - Tasa de Política Monetaria. En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 3,75% anual. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 3,75% anual. La información disponible muestra que el crecimiento de la actividad sigue siendo superior a su tendencia y el gasto interno se expande de manera robusta. El entorno internacional se mantiene favorable, a pesar de que el precio del petróleo ha continuado aumentando. En el ámbito interno, las condiciones monetarias continúan siendo claramente expansivas y la inversión sigue creciendo vigorosamente. El empleo aumenta a tasas elevadas, lo que favorece el mayor dinamismo del consumo. La inflación del IPC se ha ubicado sobre 3% antes de lo previsto, principalmente por la incidencia de alzas en los precios de los combustibles y algunas tarifas reguladas. Más allá de esto, las distintas medidas de la tendencia inflacionaria continúan normalizándose, dejando atrás los niveles inusualmente reducidos de los últimos trimestres. El Consejo considera que, en el escenario más probable, continuará reduciendo el estímulo monetario prevaleciente, de manera de mantener una trayectoria esperada para la inflación en torno a 3% anual en el horizonte habitual de política.” El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 16.50 horas."
RPM-2005-09-08,2005-09-08,2005,subir,25.0,4.0,,unanimidad,RPM-2005-09-08:400:1,400,1,"ado “ en su reunion mensual de politica monetaria, el consejo del banco central acordo aumentar la tasa de interes de politica monetaria en 25 puntos base hasta 4% anual. a pesar de que el precio del petroleo se ha mantenido elevado, el entorno internacional sigue siendo favorable. persiste un crecimiento mundial fuerte, un alto precio del cobre y condiciones financieras ventajosas. los efectos del huracan katrina, que se estiman reducidos para la actividad mundial, han implicado un shock adicional en los precios de los combustibles y tasas de interes internacionales algo m","En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 83-01-050908 - Tasa de Política Monetaria. En su Reunión Mensual de Política Monetaria, el Consejo del Banco Central acordó aumentar la Tasa de Interés de Política Monetaria en 25 puntos base, hasta 4% anual. Comunicado “ En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 4% anual. A pesar de que el precio del petróleo se ha mantenido elevado, el entorno internacional sigue siendo favorable. Persiste un crecimiento mundial fuerte, un alto precio del cobre y condiciones financieras ventajosas. Los efectos del huracán Katrina, que se estiman reducidos para la actividad mundial, han implicado un shock adicional en los precios de los combustibles y tasas de interés internacionales algo menores. El crecimiento de la actividad interna en julio se atenuó respecto a los meses previos, debido a factores puntuales y probablemente pasajeros. El gasto interno continúa aumentando de manera robusta en un entorno de condiciones monetarias claramente expansivas. La inversión sigue creciendo vigorosamente y el elevado crecimiento del empleo con expectativas privadas más auspiciosas favorecen un mayor dinamismo del consumo. La inflación anual del IPC y las distintas medidas de la tendencia inflacionaria se ubican dentro del rango meta de 2 a 4%. Las expectativas privadas de inflación han aumentado, especialmente a plazos de un año y menos, alineándose con el aumento transitorio de la inflación proyectado en el último Informe de Política Monetaria. El Consejo considera que, en el escenario más probable, continuará reduciendo el estímulo monetario prevaleciente, de manera de mantener una trayectoria esperada para la inflación en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses.” El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 16.55 horas."
RPM-2005-10-11,2005-10-11,2005,subir,25.0,4.25,,unanimidad,RPM-2005-10-11:449:1,449,1,"cado “en su reunion mensual de politica monetaria, el consejo del banco central acordo aumentar la tasa de interes de politica monetaria en 25 puntos base hasta 4,25% anual. el crecimiento de la actividad sigue siendo superior a su tendencia, aunque la informacion reciente indica que es algo menor que lo previsto. la demanda interna mantiene un elevado dinamismo, mas notorio en la inversion que en el consumo, el empleo sigue aumentando a tasas elevadas y las condiciones monetarias en chile continuan siendo claramente expansivas. pese a los elevados precios del petroleo y ma","En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 84-01-051011 - Tasa de Política Monetaria. En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 4,25% anual. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 4,25% anual. El crecimiento de la actividad sigue siendo superior a su tendencia, aunque la información reciente indica que es algo menor que lo previsto. La demanda interna mantiene un elevado dinamismo, más notorio en la inversión que en el consumo, el empleo sigue aumentando a tasas elevadas y las condiciones monetarias en Chile continúan siendo claramente expansivas. Pese a los elevados precios del petróleo y mayores riesgos de inflación internacional, el entorno externo sigue siendo favorable, persistiendo un alto precio del cobre, condiciones financieras ventajosas y la perspectiva de un crecimiento mundial elevado. La inflación de septiembre fue sorpresivamente alta por la incidencia de precios específicos, en particular de combustibles y de algunos perecibles, con lo que la inflación anual del IPC se ubicó cerca de 4% antes de lo proyectado. En cambio, las medidas de inflación subyacente IPCX e IPCX1 (que excluyen combustibles, perecibles y algunos servicios regulados, entre otros) han seguido aumentando en línea con lo previsto. Las medidas de expectativas de inflación, para horizontes de dos y más años, se mantienen en torno a 3%. Este cuadro es coherente con un aumento transitorio de la inflación y con la convergencia de la tendencia inflacionaria hacia el centro del rango meta previsto en el último Informe de Política Monetaria. El Consejo considera que, en el escenario más probable, continuará reduciendo el estímulo monetario prevaleciente, de manera de mantener una trayectoria esperada para la inflación en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses.” El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 17:15 horas."
