intervencion_id,meeting_id,fecha,actor,cargo,texto,anio,flag_texto_danado,topico_humano,keywords_humano,pred_miembro_1,pred_miembro_2,pred_miembro_3,pred_miembro_4,pred_miembro_5,prediccion_v3,prob_h_no_calibrada,prob_d_no_calibrada,prob_n_no_calibrada,score_hd_continuo,pred_relevancia_v3,prob_relevancia_no_calibrada,acuerdo_relevancia_miembros,acuerdo_miembros,usado_en_entrenamiento,rol,orden_habla,subindice,etiqueta_analisis,procedencia_etiqueta,relevancia_analisis,procedencia_relevancia,tipo_actor,orden_habla_num,subindice_num
RPM-2005-01-11:52:1,RPM-2005-01-11,2005-01-11,Jorge Desormeaux Jiménez,Consejero,"El Consejero señor Jorge Desormeaux, indica que comparte el diagnóstico de la Gerencia de División Estudios y este diagnóstico reconoce dos tendencias que efectivamente no son nuevas, pero que se han ido reforzando en los últimos meses. La primera es que se tiene una actividad más dinámica de la que se esperaba algunos meses atrás, especialmente a partir del tercer trimestre y que todo hace prever que se va a extender hacia buena parte del presente año y esto se traduce en un cierre más rápido de las brechas y de las holguras de lo previsto. La segunda tendencia es que la inflación en el corto plazo se ha mantenido acotada con IPC negativo en diciembre y tal vez en los primeros meses del año en curso. En ello ha influido la favorable evolución de los costos laborales como se ha destacado y la apreciación del tipo de cambio multilateral. Sin embargo, como nos advierte la Gerencia de División Estudios, el cierre más rápido de la brecha del PIB significará una aceleración posterior de la inflación y dado los rezagos con que actúa la política monetaria corresponde continuar con la política de normalización pausada de la misma. Se pregunta el señor Consejero si es compatible esa estrategia con mantener la tasa de política monetaria inalterada en esta reunión. Su opinión, al igual que lo señalado por la División de Estudios, es que no, porque mantener la tasa de política monetaria inalterada en la reunión de hoy tiene dos riesgos, el primero es que se confunda la estrategia del Consejo del Banco Central, en el sentido que se entienda que éste reacciona frente a schoks de oferta y que va a esperar a tener un alza en la inflación efectiva antes de elevar su tasa de política monetaria; el otro riesgo importante es que se tenga posteriormente que acelerar la estrategia de ajuste pausado, alterar esa estrategia más bien dicho, y se deba optar por un ajuste brusco de la tasa de política monetaria o incluso renunciar a la meta inflacionaria. Ambos riesgos son amenazas importantes para la efectividad de la política monetaria. Por lo anterior, señala que es partidario de realizar un ajuste moderado en la tasa de política monetaria en esta reunión de 25 puntos base, y por consiguiente su voto es por subir la tasa de política monetaria en el monto señalado.",2005,False,decision_tpm,decision_tpm,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,0.8983716724211644,0.04506216436668531,0.05656616321215032,0.8533095080544791,1,0.9918509603852593,unanime,unanime,True,entrenamiento,52,1,hawkish,etiqueta_validada_entrenamiento,1,etiqueta_validada_entrenamiento,miembro_consejo,52,1
RPM-2005-01-11:53:1,RPM-2005-01-11,2005-01-11,José De Gregorio Rebeco,Vicepresidente del Banco Central,"El Consejero señor De Gregorio expresa que tal como se indicó en la reunión de política monetaria de diciembre, de no subir las tasas ese mes, lo más probable es que debiéramos hacerlo en enero. No ha habido sorpresas significativas ni en materia inflacionaria ni por el lado de la actividad que le hagan cambiar dicha evaluación. Por lo tanto cree que en esta reunión, lo recomendable es subir la tasa de interés en 25 puntos base y, en consecuencia, vota en tal sentido.",2005,False,decision_tpm,decision_tpm,hawkish,hawkish,neutral,hawkish,hawkish,hawkish,0.7126555167875749,0.054847760096110046,0.23249672311631514,0.6578077566914649,1,0.9582165362628292,unanime,desacuerdo,True,entrenamiento,53,1,hawkish,etiqueta_validada_entrenamiento,1,etiqueta_validada_entrenamiento,miembro_consejo,53,1
RPM-2005-01-11:50:1,RPM-2005-01-11,2005-01-11,Manuel Marfán Lewis,Consejero,"El Consejero señor Manuel Marfán, señala que en primer lugar agradece el análisis del staff y comparte que no hay elementos de sorpresa significativos respecto de la reunión de política monetaria anterior. Si bien la cifra de crecimiento es marginalmente superior a la anticipada, también la inflación subyacente IPCX1 es marginalmente inferior a la anticipada y el peso se ha apreciado en las semanas recientes más allá de la depreciación internacional del dólar. En este contexto, las mismas consideraciones tácticas que motivaron mantener la tasa de política monetaria en 2,25% en la reunión anterior, aconsejan elevarla en 25 puntos base en esta oportunidad. Se trata de aportar señales al mercado de qué significa pausado, de manera de hacer menos oscilantes las expectativas respecto de la evolución más probable de la tasa de política monetaria. Una de las opciones analizadas por el staff es elevar la tasa de política monetaria en 50 puntos base, en esta oportunidad. Al respecto, le parece que esa opción debió descartarse tan rápidamente como se hizo con una reducción de la tasa, ya que ambas alternativas comparten el representar un quiebre en el camino trazado. Desde esta perspectiva, aunque claramente la opción más plausible en esta ocasión es la de normalizar la tasa en 25 puntos base, la única otra digna de haberse analizado, a su juicio, era la de mantenerla en su nivel actual. Al igual que en otras ocasiones, el mencionar una estrategia de normalización de la tasa de política monetaria con consideraciones tácticas de corto plazo, no debe implicar, bajo ningún punto de vista, que el Consejo está asumiendo compromiso alguno respecto de sus decisiones en futuras reuniones de política monetaria. Por el contrario, el Consejo debe mantener todos los grados de libertad para alterar el rumbo trazado sobre la base de noticias y eventos que no estén incluidos en el escenario base. Pero con la misma convicción, es necesario reiterar que la normalización de la economía requiere también una normalización del elevado impulso monetario actual, las oscilaciones de corto plazo de las distintas medidas de inflación no deben distorsionar el objetivo de llevar la inflación a un rango centrado en 3% en el horizonte de 24 meses. Por las razones ya señaladas vota por elevar la tasa de política monetaria en 25 puntos base, de manera de situarla en 2,5%.",2005,False,decision_tpm,decision_tpm,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,0.9306046514616494,0.041455110976254254,0.02794023756209641,0.8891495404853952,1,0.9846825439229521,unanime,unanime,True,entrenamiento,50,1,hawkish,etiqueta_validada_entrenamiento,1,etiqueta_validada_entrenamiento,miembro_consejo,50,1
RPM-2005-01-11:51:1,RPM-2005-01-11,2005-01-11,María Elena Ovalle Molina,Consejera,"La Consejera, señora María Elena Ovalle señala que como se desprende de la presentación de la Gerencia de División Estudios, la economía chilena continúa enfrentando un favorable entorno internacional que ha contribuido a fortalecer la clara expansión de la actividad económica doméstica y el cierre de brechas asociado a este panorama. En el mercado laboral, el último registro de desempleo resultó por sobre la cifra de igual trimestre móvil del año anterior. No obstante, la evolución de los indicadores de creación de empleos y expansión del empleo asalariado, muestran una tendencia positiva que se ha afianzado. Los indicadores inflacionarios estuvieron algo por debajo de los proyectados en la reunión de diciembre, especialmente por movimientos puntuales en el rubro transportes. Por otra parte, los antecedentes provenientes de los salarios y costos continúan sin introducir presiones sobre la inflación. No obstante, las expectativas inflacionarias de mediano plazo continúan ancladas al rango meta. Considerando estos antecedentes, señala que es evidente que el nivel actual de la tasa de política monetaria no es sostenible en el tiempo dado el panorama de crecimiento que se nos presenta. Estos argumentos afianzan la idea de que la economía estaría necesitando un menor impulso monetario que el vigente, sobre todo porque su trayectoria se ha presentado permanentemente por sobre nuestras estimaciones. Así, un alza de 25 puntos base de la tasa de política monetaria es consistente con la estrategia de retiro pausado de las condiciones expansivas prevalecientes y el tránsito gradual a una tasa de política más neutral. Asimismo, se debe tener en cuenta que las proyecciones de inflación presentadas por la Gerencia de División Estudios tienen implícito un aumento gradual de la tasa de política monetaria para alcanzar el objetivo de 3% en el horizonte de política. Indica, que concuerda en esta oportunidad con lo discutido en reuniones anteriores, en que un primer hito importante para seguir con este paso mesurado de ajuste, sería dejar atrás una tasa real de política negativa como la prevaleciente bajo las condiciones actuales. También considera que un alza de 25 puntos base, indicaría al mercado que las decisiones de política monetaria no son tomadas en base a hechos puntuales o de un mes en particular que afectan a la inflación y al crecimiento, sino en cómo estos antecedentes van o no modificando las tendencias y perspectivas que marcan el horizonte mediano y largo que les interesa como Consejo. Asimismo, un movimiento en dicha magnitud probablemente no generará un gran impacto en las cifras, por cuanto es de consenso que el proceso de normalización debe continuar. Por lo tanto, una medida preventiva como el alza acotada que propone la Gerencia de División Estudios, los deja en buen pie para seguir evaluando en el futuro nuevas políticas coherentes con este entorno más dinámico y nuestra meta inflacionaria de 3%. Es por ello, que vota por una alza de 25 puntos base en la tasa de política monetaria en esta reunión.",2005,False,otros,decision_tpm,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,0.9254007424594171,0.045516140997725815,0.029083116542857064,0.8798846014616912,1,0.9864532335041687,unanime,unanime,True,entrenamiento,51,1,hawkish,etiqueta_validada_entrenamiento,1,etiqueta_validada_entrenamiento,miembro_consejo,51,1
RPM-2005-01-11:54:1,RPM-2005-01-11,2005-01-11,Vittorio Corbo Lioi,Presidente del Banco Central,"El Presidente, señor Vittorio Corbo señala, que tal como lo ha mostrado la Gerencia de División Estudios, las últimas cifras de actividad no hacen más que confirmar que la economía está en una senda expansiva. Además, las perspectivas son que esta expansión continúe siendo robusta impulsada por la mantención de condiciones externas favorables y un impulso macroeconómico que persiste. En este escenario, las holguras de capacidad se seguirán reduciendo y a un ritmo más rápido que lo previsto con anterioridad. Como resultado, aumenta el riesgo que hacia el final del horizonte de proyección la inflación supere en forma holgada el centro del rango meta. En estas circunstancias, con una tasa de política monetaria muy por debajo de cualquier estimación de una tasa neutral, lo más aconsejable es continuar con el proceso de normalización de la política monetaria. Este curso de política hace más probable que podamos continuar con una reducción pausada del marcado estímulo monetario, para de este modo reducir la probabilidad que más adelante se tengan que introducir aumentos más pronunciados en la tasa de interés para poder cumplir con el objetivo de mantener la inflación centrada en 3% en el horizonte habitual de política. Así, continuar el proceso gradual de acercar la tasa de política monetaria a la tasa neutral ahora provee una suerte de seguro contra aumentos más abruptos y costosos de la tasa en el futuro si nos encontramos con la desagradable sorpresa que la inflación comienza a alejarse en forma persistente de nuestra meta. Por supuesto que éstas son direcciones de política condicionales al escenario central que se tiene sobre la evolución de la inflación y sus principales determinantes en los próximos meses y, por lo tanto, no constituyen un compromiso de política futuro. Señala que el único compromiso que tenemos es mantenerse atentos para intentar que la inflación se mantenga dentro de la meta del 3% en el horizonte de política. Por lo anterior, señala que su voto es por un aumento de 25 puntos base en la tasa de política monetaria.",2005,False,decision_tpm,decision_tpm,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,0.9179088324124027,0.048200163651850994,0.033891003935746296,0.8697086687605518,1,0.9751435847206598,unanime,unanime,True,entrenamiento,54,1,hawkish,etiqueta_validada_entrenamiento,1,etiqueta_validada_entrenamiento,miembro_consejo,54,1
RPM-2005-02-10:133:1,RPM-2005-02-10,2005-02-10,Jorge Desormeaux Jiménez,Consejero,"El Consejero señor Jorge Desormeaux, señala que la presentación de la Gerencia de División Estudios enfatiza, tal como lo acaba de señalar el Consejero señor Marfán, que la principal novedad que se presente desde la última reunión de política monetaria, que coincidió con la presentación del Informe de Política Monetaria del mes de enero, es el hecho que la actividad ha mostrado un crecimiento persistentemente más elevado que el considerado en el escenario central de ese Informe, pero incluso sin esta innovación el Informe de Política Monetaria de enero hacía presente que la trayectoria esperada de tasas de interés implícita en nuestro escenario central era más inclinada que la que se derivaba de los precios de los antiguos financieros, por lo tanto, indica, la interpretación acerca del significado concreto de nuestro mensaje de normalización pausada ha sido erróneo y, evidentemente, la señal que entregó el Informe de Política Monetaria en enero, haciendo ver que nuestras proyecciones suponen un ritmo ligeramente más rápido que el considerado por el mercado no fue bien entendida. En efecto, el mercado sigue apostando a una normalización que es inconsistente con el objetivo de alcanzar el centro del rango meta durante el horizonte de política, por lo tanto cree que la manera más eficaz de transmitir esa información, coincidiendo en esto también con quienes lo han precedido, es precisamente rompiendo con la costumbre de elevar la tasa de política monetaria en 25 puntos base mes por medio. Ello, en su opinión resulta conveniente en esta ocasión, además, por una segunda razón, el supuesto del Informe de Política Monetaria de enero de que el extraordinario crecimiento del segundo semestre y particularmente el cuarto trimestre sería una anomalía transitoria, parece cada vez menos realista, va aumentando la posibilidad de que en realidad el escenario central sea uno con un dinamismo mayor y una reducción de brechas más aceleradas de transformarse este dinamismo en parte del escenario central la trayectoria de la tasa de política monetaria a futuro debería revisarse hacia arriba. Por ello tiene mucha relevancia ajustar al alza la tasa de política monetaria en esta ocasión, porque ello reduce el riesgo de tener que abandonar la estrategia de normalización pausada seguida hasta ahora y, reemplazarla en el futuro por un ajuste mas abrupto. Sin embargo, para evitar que este movimiento sea considerado por el mercado como una interrupción del ajuste pausado de la tasa de política monetaria, le parece justo que también el comunicado enfatice que dicho enfoque sigue vigente. En consecuencia, manifiesta que vota a favor de un alza de tasa de 25 puntos base.",2005,False,decision_tpm,decision_tpm,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,0.9334007630513057,0.031221449196311608,0.03537778775238269,0.9021793138549941,1,0.9873106397687531,unanime,unanime,True,entrenamiento,133,1,hawkish,etiqueta_validada_entrenamiento,1,etiqueta_validada_entrenamiento,miembro_consejo,133,1
RPM-2005-02-10:136:1,RPM-2005-02-10,2005-02-10,José De Gregorio Rebeco,Vicepresidente del Banco Central,"Señala también, que es cierto que la evolución de los costos laborales y márgenes aún revelan holguras inflacionarias y que de persistir, probablemente, habría que tomar la velocidad de normalización de la tasa de política monetaria. Sin embargo, ese cree no es el mayor riesgo en esta oportunidad, en particular si se considera que la política monetaria es aún muy expansiva. El mayor riesgo, como se ha señalado en reuniones anteriores, es atrasarse en el ajuste, lo que requeriría de alzas más pronunciadas y más seguidas. Agrega, que es cierto que este mes y en los venideros se enfrenta un problema timing de la reducción del estímulo monetario. En primer lugar, estima, es importante señalar que la estrategia no es mecánica ni consiste en subir la tasa de política monetaria mes por medio. En segundo lugar, en el escenario base la normalización es algo menos pausada que la estimada por el mercado en su curva forward, por lo anterior, existen razones de carácter táctico que sugerirían subir la tasa en esta oportunidad. No obstante, un alza de la tasa de política monetaria podría inducir la percepción que estamos reaccionando a noticias de aceleración inflacionaria que el mercado no tiene, en especial cuando el mercado mayoritariamente no espera movimientos, lo que podría, a su vez, servir de base para proponer la mantención de la tasa de política monetaria. Como ya se mencionó, esto podría interpretarse como un cambio de la estrategia de normalización gradual, en particular en un mes en que el último registro puntual de IPC es negativo. En todo caso, en su opinión, estas consideraciones no le parecen un riesgo mayor, ya que, en primer lugar, no se subió la tasa en diciembre y sí en enero, lo que debe ser una señal suficientemente clara que nuestro objetivo inflacionario es respecto de un horizonte de entre 12 y 24 meses y por otra parte, cree que corresponde ser claro en nuestra comunicación con el mercado, en el sentido que no existe ninguna noticia inflacionaria particular a la que estamos reaccionando sino que es parte de una estrategia bien fundamentada en nuestro último Informe de Política Monetaria. Por lo tanto cree que el riesgo de una mala interpretación es menor y, en consecuencia, en su opinión, al igual que los señores Consejeros que lo precedieron, su voto es por subir la tasa de política monetaria en 25 puntos base.",2005,False,decision_tpm,decision_tpm,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,0.9576904944645508,0.023497272150635316,0.018812233384813908,0.9341932223139154,1,0.9927543180580866,unanime,unanime,True,entrenamiento,136,1,hawkish,etiqueta_validada_entrenamiento,1,etiqueta_validada_entrenamiento,miembro_consejo,136,1
RPM-2005-02-10:132:1,RPM-2005-02-10,2005-02-10,Manuel Marfán Lewis,Consejero,"El Consejero señor Manuel Marfán, agradece el análisis efectuado por el staff y señala que comparte la opinión de que las opciones analizadas en esta oportunidad son las de mantener, o elevar en 25 puntos base la tasa de política monetaria. Agrega que los principales elementos de sorpresa respecto de la reunión anterior se vinculan con un ritmo de crecimiento de la actividad y el gasto superior al previsto y mejores condiciones externas. La tendencia de las distintas medidas de inflación en tanto no difieren significativamente de lo anticipado. Señala que para justificar su voto en esta oportunidad desea referirse, brevemente, a tres argumentos que no son nuevos: Primero, en ocasiones anteriores ha argumentado que ante opciones equivalentes a las presentadas en esta reunión hay que sopesar el costo de equivocarse. En particular, cabe confrontar el costo de mantener la actual tasa de política monetaria si la opción acertada fuera la de aumentarla versus el costo de aumentar la tasa de política monetaria si la opción acertada fuera la de mantenerla, o como hemos bautizado también en otras oportunidades el riesgo tipo uno versus el riesgo tipo dos. A diferencia de otras ocasiones, sin embargo, en esta oportunidad la probabilidad de poner en riesgo el proceso de reactivación es muy bajo. Desde esta sola perspectiva, este tipo de argumento apuntaría en esta ocasión en la dirección de elevar la tasa de política monetaria. Segundo, y estrechamente relacionado con el argumento anterior, está la evaluación del nivel de la tasa de política monetaria. Cualquiera sea la percepción que se tenga de la tasa de interés neutral ésta se sitúa muy por sobre la del nivel actual de la tasa de política monetaria y por consiguiente, la política monetaria actual es muy expansiva. Dada la normalización de las brechas ligadas al ciclo económico corresponde, como hemos coincidido anteriormente, normalizar también la política monetaria acercando paulatinamente la tasa a su nivel neutral. Este segundo argumento también apunta en la dirección de elevar la tasa de política monetaria. En tercer lugar, cabe decidir cuál es la velocidad a la que debe normalizarse la tasa de política. Éstos son los aspectos tácticos a los que se ha hecho referencia en otras ocasiones. Precisamente para evitar una sobre reacción del mercado, en reuniones anteriores se decidió ir normalizando las tasas más calmadamente que lo aconsejado en las proyecciones de nuestros modelos. Estima el señor Consejero que esa decisión fue buena, en su oportunidad, pero tal como se indicó en el último Informe de Política Monetaria, el escenario base del Banco considera una trayectoria esperada de tasa levemente más empinada que la implícita en los precios de los activos. Esto fue dicho y escrito en el Informe de Política Monetaria. A su juicio esa señal tiene que ser refrendada en esta oportunidad, a través de un aumento de la tasa de política monetaria, también por esa razón táctica, porque de lo contrario no se podría entender por qué se dijo una cosa en el Informe de Política Monetaria y ahora se estaría señalando algo diferente. Por lo tanto, a su parecer, los tres argumentos señalados apuntan, en esta oportunidad, en la dirección de optar por un aumento de 25 puntos base. Con todo, tal como advierte el documento referido a las opciones presentado por el señor Gerente de División Estudios, la redacción del comunicado debe ser especialmente cuidadosa en esta oportunidad. Ello en consideración a que el mercado está esperando mayoritariamente otra decisión. Piensa, que en esta ocasión correspondería efectuar alguna dosis de autocrítica, en cuanto a que el mercado, en su opinión, no ha sabido interpretar correctamente nuestro mensaje o tal vez, nosotros no hemos sabido manifestarlo adecuadamente. A su juicio si se hubiese efectuado una lectura correcta del Informe de Política Monetaria, como se quiso escribir, no se habría presentado la duda que la decisión correcta era subir la tasa en esta ocasión. Por consiguiente, por las razones expuestas, vota por elevar la tasa de política monetaria en 25 puntos base, de manera de situarla en 2,75%.",2005,False,decision_tpm,decision_tpm,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,0.9286303830007883,0.031169502309560605,0.040200114689651054,0.8974608806912276,1,0.9872223575953651,unanime,unanime,True,entrenamiento,132,1,hawkish,etiqueta_validada_entrenamiento,1,etiqueta_validada_entrenamiento,miembro_consejo,132,1
RPM-2005-02-10:134:1,RPM-2005-02-10,2005-02-10,María Elena Ovalle Molina,Consejera,"La Consejera, señora María Elena Ovalle, indica que tal como se desprende de la presentación de la Gerencia de División de Estudios, los últimos antecedentes ratifican la senda de clara expansión por la que transita la economía chilena. Esto ha generado que las perspectivas de crecimiento para el presente año, sean en su mayoría más auspiciosas que las estimadas hace un par de trimestres. Lo anterior, sin duda ha propiciado un clima de confianza en la recuperación de la actividad, que debiera seguir estimulando al mercado laboral y la inversión. Por el lado de la inflación, el último registro del IPC fue negativo y las medidas subyacentes estuvieron algo bajo de lo proyectado en la reunión pasada. Pero, como bien señala que la Gerencia de División de Estudios, nuestras estimaciones prevén un aumento gradual de los indicadores inflacionarios en el horizonte habitual de política. Estos antecedentes y sus determinantes, permiten suponer que la estrategia de aumentos moderados adoptada hace cinco meses ha sido apropiada, ya que ha permitido al mercado internalizar adecuadamente las sucesivas alzas de la tasa de política monetaria, sin generar grandes frustraciones en las distintas variables. Por ende, no cree que los hechos de este último mes ameriten modificar el ritmo de normalización de la instancia monetaria que hemos seguido hasta ahora. Consistente con esto, concuerda con que las opciones de mantener la tasa de política monetaria y la de un aumento acotado de 25 puntos base son las alternativas mas plausibles en esta reunión. En este sentido, las tendencias más claras siguen reforzando la idea que la economía ya no requiere un impulso monetario como el vigente en la actualidad. De esta forma, continúa siendo necesario el tránsito gradual de la tasa de política monetaria hacia un nivel más neutral que permita conciliar nuestro objetivo inflacionario con el panorama de crecimiento. Además, nuestras perspectivas de inflación de mediano plazo siguen asociadas al cierre de holguras en los distintos segmentos de la economía. A ello se suman las consideraciones tácticas que señala la Gerencia de División de Estudios que hacen también recomendable continuar con el retiro del impulso monetario vigente. Si bien una parte importante del mercado espera la mantención de la tasa de política monetaria en la reunión de hoy, una decisión en este sentido daría a entender que “Pausado” implicaría una dosis de 25 puntos base mes por medio, lo que no necesariamente es así. Por lo tanto, el alza reforzaría el argumento que más bien nos interesa la evolución de la economía desde una perspectiva más amplia. Considerando también los rezagos propios con que actúa la política monetaria, una medida precautoria como esta alza de 25 puntos base, nos deja en una instancia algo más cómoda que la actual, para seguir evaluando el impacto de este mayor crecimiento en los precios y costos. Esto también reduce la probabilidad de tener que reaccionar de forma más agresiva en el futuro. Por lo tanto, considerando los argumentos que confirman las tendencias que hemos estado observando y que ameritan un ajuste de la tasa de política monetaria, sumado a que las bajas presiones provenientes de los costos permiten mantener la estrategia de retiro gradual de una política monetaria muy expansiva, es que considera una alza de la tasa de política monetaria de 25 puntos base como la alternativa más adecuada en la reunión de hoy. Finalmente, le gustaría señalar que debemos tener especial cuidado en la redacción del comunicado con el fin de que esta alza se entienda como coherente con nuestra visión de mediano plazo. Por consiguiente, señala que vota por un alza de la tasa de política monetaria en 25 puntos base.",2005,False,decision_tpm,otros,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,0.9286878905076688,0.054563352395564056,0.016748757096767136,0.8741245381121047,1,0.991285858094737,unanime,unanime,True,entrenamiento,134,1,hawkish,etiqueta_validada_entrenamiento,1,etiqueta_validada_entrenamiento,miembro_consejo,134,1
RPM-2005-02-10:137:1,RPM-2005-02-10,2005-02-10,Vittorio Corbo Lioi,Presidente del Banco Central,"El Presidente, señor Vittorio Corbo señala, que desde la reunión de Política Monetaria el crecimiento de la economía mundial ha seguido un curso muy similar al considerado en el Informe de Política Monetaria de enero, el precio del cobre se ha mantenido alto y la economía interna ha profundizado su ciclo expansivo, liderado por la inversión en maquinaria y equipos y las exportaciones. En paralelo, las velocidades de las medidas subyacentes de inflación se comienzan a acercar lentamente al centro del rango meta. En este contexto en que el ciclo expansivo se fortalece y, por ende, se reduce el período en que la brecha de capacidad tenderá a desaparecer, se refuerza la necesidad de tener una política monetaria menos expansiva y consistente con el objetivo de mantener la inflación en torno al centro del rango meta en un horizonte de 12 a 24 meses. Lo que corresponde en estas circunstancias es continuar con el proceso de aumento pausado de la tasa de política monetaria para llevarl a gradualmente a un nivel más cercano a la tasa neutral. Esto es justamente lo que se requiere para mantener un marco de estabilidad que facilite un crecimiento económico alto y sostenido de la economía chilena. Por todo lo anterior, su voto también es por un aumento de 25 puntos base en la tasa de política monetaria.",2005,False,decision_tpm,decision_tpm,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,0.8939383302356777,0.03478506373130941,0.07127660603301286,0.8591532665043683,1,0.9644386107125908,unanime,unanime,True,entrenamiento,137,1,hawkish,etiqueta_validada_entrenamiento,1,etiqueta_validada_entrenamiento,miembro_consejo,137,1
