meeting_id,intervencion_id,etiqueta_analisis,score_hd_continuo,orden_habla,subindice,texto
RPM-2005-01-11,RPM-2005-01-11:55:1,neutral,0.08010456612820394,55,1,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo:"
RPM-2005-02-10,RPM-2005-02-10:139:1,hawkish,0.9171383316670231,139,1,"Comunicado “ En su reunión mensual de política monetaria, el Consejo del Banco Central resolvió, por unanimidad, aumentar la tasa de interés de política monetaria en 25 puntos base hasta 2,75% anual. La información disponible a esta fecha muestra que el ritmo de crecimiento de la economía sigue siendo alto, ubicándose en diciembre incluso por encima de la previsto en el último Informe de Política Monetaria. Ello ocurre en un entorno internacional favorable, en que el precio del cobre se mantiene elevado, y bajo condiciones monetarias en Chile que siguen siendo marcadamente expansivas. La inversión ha seguido creciendo con vigor, el empleo y la fuerza de trabajo han aumentado a tasas elevadas por cinco meses, y las expectativas privadas son más auspiciosas. Por su parte, la información de precios más reciente, incluyendo el IPC de enero, está en línea con el escenario de inflación acotada para el presente año considerado en el último Informe de Política Monetaria. Asimismo, las distintas mediciones de la tendencia inflacionaria actual han seguido aumentando gradualmente. Esto último, junto al progresivo cierre de las brechas de capacidad y el marcado estímulo monetario actual, hace recomendable aumentar la tasa de interés de política. Este ajuste es coherente con la estrategia de normalización pausada del impulso monetario, reduce el riesgo de ajustes abruptos en el futuro y refleja las buenas perspectivas de la economía nacional. El Consejo estima que esta estrategia posibilita, en el escenario más probable, una trayectoria para la inflación en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses, a pesar de que es previsible que la inflación en doce meses se ubique en niveles reducidos durante parte de 2005.” El Consejo aprueba el texto del Comunicado. Se levanta la Sesión horas. 17.40."
RPM-2005-03-10,RPM-2005-03-10:200:1,hawkish,0.813440168377352,200,1,"Comunicado En su reunión mensual de política monetaria, el Consejo del Banco Central resolvió, por unanimidad, mantener la tasa de interés de política monetaria en 2,75% anual. La información disponible muestra que la inflación y el crecimiento de la actividad tienen un comportamiento coherente con el panorama previsto en el último Informe de Política Monetaria. El sólido crecimiento de la economía es apoyado por un entorno internacional favorable y por condiciones monetarias en Chile que continúan siendo claramente expansivas. La inversión ha seguido creciendo con excepcional vigor, el empleo y la fuerza de trabajo continúan dinámicos, y las expectativas privadas se mantienen auspiciosas. Por su parte, la información de precios más reciente indica que, más allá de los vaivenes que originan los cambios de algunas tarifas reguladas, las distintas mediciones de la tendencia inflacionaria actual han seguido aumentando gradualmente, en línea con las proyecciones del último Informe de Política Monetaria. Ello es congruente con un cierre progresivo de las brechas de capacidad. Es esperable que la inflación mensual exhiba alguna volatilidad en el corto plazo por la incidencia que tienen los fuertes cambios que han tenido los precios de los combustibles. No obstante, la proyección de la inflación en doce meses se mantiene en niveles reducidos durante parte del 2005, ubicándose por debajo de 2% en algunos meses. La decisión de mantener la Tasa de Política Monetaria en esta oportunidad no modifica la expectativa de reducción pausada del impulso monetario. El Consejo estima que esta estrategia permite alcanzar, en el escenario más probable, una inflación en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses. El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 17.50 horas."
RPM-2005-04-07,RPM-2005-04-07:220:1,neutral,-0.0007127591040421226,220,1,El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 17:00 horas.
RPM-2005-05-12,RPM-2005-05-12:278:1,hawkish,0.8660125399356304,278,1,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 77-01-050512 - Tasa de Política Monetaria. Se acuerda aumentar la tasa de interés de política monetaria en 25 puntos base hasta 3,25% anual. Siendo las 17.00 hrs. se retiran de la Sala el señor Ministro de Hacienda, señor Nicolás Eyzaguirre Guzmán y la Asesora Macroeconómica del Ministerio de Hacienda, señora Bernardita Piedrabuena Keymer. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central resolvió, por unanimidad, aumentar la tasa de interés de política monetaria en 25 puntos base hasta 3,25% anual. Los antecedentes disponibles muestran que el crecimiento de la actividad, aunque más atenuado que en trimestres pasados, sigue siendo superior a su tendencia. La inversión, el consumo y el empleo continúan creciendo apoyados por condiciones monetarias internas claramente expansivas y por un entorno internacional favorable, pero cuyos riesgos se mantienen elevados. La información de precios más reciente indica que, más allá de movimientos inusuales en precios específicos y la incidencia directa que tiene el aumento del precio del petróleo, la tendencia inflacionaria sigue aumentando gradualmente, en línea con lo previsto. Cabe destacar que, no obstante el incremento de los salarios por hora observado en los últimos meses, los costos laborales unitarios se mantienen estables. Este aumento de la tasa de interés es coherente con el ritmo de normalización pausada iniciada en septiembre pasado, refleja las buenas perspectivas de la economía nacional, y reduce el riesgo de movimientos abruptos en el futuro. El Consejo reitera su compromiso de conducir la política monetaria de manera de mantener una trayectoria para la inflación esperada en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses.” El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 17.50 horas."
RPM-2005-06-09,RPM-2005-06-09:295:1,neutral,-0.0005820942758121342,295,1,El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 16.45 horas.
RPM-2005-07-12,RPM-2005-07-12:311:1,neutral,-0.0006741835380618439,311,1,El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 16.50 horas.
RPM-2005-08-11,RPM-2005-08-11:366:1,hawkish,0.8793232175713834,366,1,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 81-01-050811 - Tasa de Política Monetaria. En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 3,75% anual. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 3,75% anual. La información disponible muestra que el crecimiento de la actividad sigue siendo superior a su tendencia y el gasto interno se expande de manera robusta. El entorno internacional se mantiene favorable, a pesar de que el precio del petróleo ha continuado aumentando. En el ámbito interno, las condiciones monetarias continúan siendo claramente expansivas y la inversión sigue creciendo vigorosamente. El empleo aumenta a tasas elevadas, lo que favorece el mayor dinamismo del consumo. La inflación del IPC se ha ubicado sobre 3% antes de lo previsto, principalmente por la incidencia de alzas en los precios de los combustibles y algunas tarifas reguladas. Más allá de esto, las distintas medidas de la tendencia inflacionaria continúan normalizándose, dejando atrás los niveles inusualmente reducidos de los últimos trimestres. El Consejo considera que, en el escenario más probable, continuará reduciendo el estímulo monetario prevaleciente, de manera de mantener una trayectoria esperada para la inflación en torno a 3% anual en el horizonte habitual de política.” El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 16.50 horas."
RPM-2005-09-08,RPM-2005-09-08:400:1,hawkish,0.8941284576259991,400,1,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 83-01-050908 - Tasa de Política Monetaria. En su Reunión Mensual de Política Monetaria, el Consejo del Banco Central acordó aumentar la Tasa de Interés de Política Monetaria en 25 puntos base, hasta 4% anual. Comunicado “ En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 4% anual. A pesar de que el precio del petróleo se ha mantenido elevado, el entorno internacional sigue siendo favorable. Persiste un crecimiento mundial fuerte, un alto precio del cobre y condiciones financieras ventajosas. Los efectos del huracán Katrina, que se estiman reducidos para la actividad mundial, han implicado un shock adicional en los precios de los combustibles y tasas de interés internacionales algo menores. El crecimiento de la actividad interna en julio se atenuó respecto a los meses previos, debido a factores puntuales y probablemente pasajeros. El gasto interno continúa aumentando de manera robusta en un entorno de condiciones monetarias claramente expansivas. La inversión sigue creciendo vigorosamente y el elevado crecimiento del empleo con expectativas privadas más auspiciosas favorecen un mayor dinamismo del consumo. La inflación anual del IPC y las distintas medidas de la tendencia inflacionaria se ubican dentro del rango meta de 2 a 4%. Las expectativas privadas de inflación han aumentado, especialmente a plazos de un año y menos, alineándose con el aumento transitorio de la inflación proyectado en el último Informe de Política Monetaria. El Consejo considera que, en el escenario más probable, continuará reduciendo el estímulo monetario prevaleciente, de manera de mantener una trayectoria esperada para la inflación en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses.” El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 16.55 horas."
RPM-2005-10-11,RPM-2005-10-11:449:1,hawkish,0.8992380248432275,449,1,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 84-01-051011 - Tasa de Política Monetaria. En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 4,25% anual. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 4,25% anual. El crecimiento de la actividad sigue siendo superior a su tendencia, aunque la información reciente indica que es algo menor que lo previsto. La demanda interna mantiene un elevado dinamismo, más notorio en la inversión que en el consumo, el empleo sigue aumentando a tasas elevadas y las condiciones monetarias en Chile continúan siendo claramente expansivas. Pese a los elevados precios del petróleo y mayores riesgos de inflación internacional, el entorno externo sigue siendo favorable, persistiendo un alto precio del cobre, condiciones financieras ventajosas y la perspectiva de un crecimiento mundial elevado. La inflación de septiembre fue sorpresivamente alta por la incidencia de precios específicos, en particular de combustibles y de algunos perecibles, con lo que la inflación anual del IPC se ubicó cerca de 4% antes de lo proyectado. En cambio, las medidas de inflación subyacente IPCX e IPCX1 (que excluyen combustibles, perecibles y algunos servicios regulados, entre otros) han seguido aumentando en línea con lo previsto. Las medidas de expectativas de inflación, para horizontes de dos y más años, se mantienen en torno a 3%. Este cuadro es coherente con un aumento transitorio de la inflación y con la convergencia de la tendencia inflacionaria hacia el centro del rango meta previsto en el último Informe de Política Monetaria. El Consejo considera que, en el escenario más probable, continuará reduciendo el estímulo monetario prevaleciente, de manera de mantener una trayectoria esperada para la inflación en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses.” El Consejo aprueba el texto del Comunicado. Se levanta la Sesión a las 17:15 horas."
