actor,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
José De Gregorio Rebeco,1047.0,59.0,17.0,971.0,0.05635148042024833,0.01623686723973257,0.9274116523400191,0.04011461318051576,0.5526315789473685,0.0725883476599809,0.03709414236342008
Rodrigo Vergara Montes,1026.0,18.0,48.0,960.0,0.017543859649122806,0.04678362573099415,0.935672514619883,-0.029239766081871343,-0.45454545454545453,0.06432748538011696,-0.029950156354774615
Manuel Marfán Lewis,855.0,55.0,23.0,777.0,0.06432748538011696,0.026900584795321637,0.9087719298245615,0.03742690058479532,0.41025641025641024,0.0912280701754386,0.03572323017120519
Claudio Soto Gamboa,808.0,3.0,2.0,803.0,0.0037128712871287127,0.0024752475247524753,0.9938118811881188,0.0012376237623762376,0.2,0.006188118811881188,-0.004391297840827489
Sergio Lehmann Beresi,791.0,1.0,0.0,790.0,0.0012642225031605564,0.0,0.9987357774968394,0.0012642225031605564,1.0,0.0012642225031605564,-0.0034784806207635035
Sebastián Claro Edwards,592.0,26.0,29.0,537.0,0.04391891891891892,0.048986486486486486,0.9070945945945946,-0.005067567567567568,-0.05454545454545454,0.0929054054054054,-0.022174915371852753
Pablo García Silva,565.0,29.0,23.0,513.0,0.05132743362831858,0.04070796460176991,0.9079646017699115,0.010619469026548672,0.11538461538461539,0.0920353982300885,0.005512389189043318
Consejo del Banco Central de Chile,503.0,57.0,43.0,403.0,0.11332007952286283,0.08548707753479125,0.8011928429423459,0.027833001988071572,0.14,0.1988071570576541,0.02180972844896343
Enrique Marshall Rivera,483.0,39.0,40.0,404.0,0.08074534161490683,0.08281573498964803,0.8364389233954451,-0.002070393374741201,-0.012658227848101266,0.16356107660455488,-0.03577564767629579
Vittorio Corbo Lioi,455.0,29.0,1.0,425.0,0.06373626373626373,0.002197802197802198,0.9340659340659341,0.06153846153846154,0.9333333333333333,0.06593406593406594,0.05233080587005335
Luis Óscar Herrera Barriga,302.0,21.0,16.0,265.0,0.0695364238410596,0.052980132450331126,0.8774834437086093,0.016556291390728478,0.13513513513513514,0.12251655629139073,-0.003099880569991311
Joaquín Vial Ruiz-Tagle,231.0,5.0,7.0,219.0,0.021645021645021644,0.030303030303030304,0.948051948051948,-0.008658008658008658,-0.16666666666666666,0.05194805194805195,-0.027737084829397716
Andrés Velasco Brañes,222.0,4.0,6.0,212.0,0.018018018018018018,0.02702702702702703,0.954954954954955,-0.009009009009009009,-0.2,0.04504504504504504,-0.005644247144754674
Jorge Desormeaux Jiménez,221.0,38.0,13.0,170.0,0.17194570135746606,0.058823529411764705,0.7692307692307693,0.11312217194570136,0.49019607843137253,0.23076923076923078,0.11610285729852814
Rodrigo Valdés Pulido,215.0,28.0,4.0,183.0,0.13023255813953488,0.018604651162790697,0.8511627906976744,0.11162790697674418,0.75,0.14883720930232558,0.10654559341374972
Miguel Fuentes Díaz,205.0,0.0,2.0,203.0,0.0,0.00975609756097561,0.9902439024390244,-0.00975609756097561,-1.0,0.00975609756097561,-0.031247532713524134
Beltrán de Ramón Acevedo,183.0,14.0,26.0,143.0,0.07650273224043716,0.14207650273224043,0.7814207650273224,-0.06557377049180328,-0.3,0.2185792349726776,-0.10910575014026735
Igal Magendzo Weinberger,140.0,3.0,0.0,137.0,0.02142857142857143,0.0,0.9785714285714285,0.02142857142857143,1.0,0.02142857142857143,0.030745754831698845
Alberto Naudon Dell'Oro,116.0,6.0,8.0,102.0,0.05172413793103448,0.06896551724137931,0.8793103448275862,-0.017241379310344827,-0.14285714285714285,0.1206896551724138,-0.029338916943437945
Kevin Cowan Logan,116.0,2.0,6.0,108.0,0.017241379310344827,0.05172413793103448,0.9310344827586207,-0.034482758620689655,-0.5,0.06896551724137931,-0.0491019861841871
Esteban Jadresic Marinovic,87.0,11.0,4.0,72.0,0.12643678160919541,0.04597701149425287,0.8275862068965517,0.08045977011494253,0.4666666666666667,0.1724137931034483,0.048980029511100455
Nicolás Eyzaguirre Guzmán,78.0,0.0,0.0,78.0,0.0,0.0,1.0,0.0,,0.0,0.012510873383762432
Diego Gianelli Gómez,62.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,,0.0,-0.016841977123537515
Felipe Larraín Bascuñán,56.0,11.0,10.0,35.0,0.19642857142857142,0.17857142857142858,0.625,0.017857142857142856,0.047619047619047616,0.375,-0.04496169380275122
Matías Bernier Bórquez,45.0,0.0,3.0,42.0,0.0,0.06666666666666667,0.9333333333333333,-0.06666666666666667,-1.0,0.06666666666666667,-0.018500838239392543
Ricardo Vicuña Poblete,44.0,0.0,0.0,44.0,0.0,0.0,1.0,0.0,,0.0,-0.004204804810880973
Klaus Schmidt-Hebbel Dunker,40.0,16.0,0.0,24.0,0.4,0.0,0.6,0.4,1.0,0.4,0.3192964098254511
Luis Felipe Céspedes Cifuentes,24.0,5.0,5.0,14.0,0.20833333333333334,0.20833333333333334,0.5833333333333334,0.0,0.0,0.4166666666666667,0.04602255156217586
Miguel Ricaurte Bermúdez,21.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,,0.0,-0.011461879566496429
Alberto Arenas de Mesa,21.0,0.0,9.0,12.0,0.0,0.42857142857142855,0.5714285714285714,-0.42857142857142855,-1.0,0.42857142857142855,-0.3103510358317606
Rodrigo Cerda Norambuena,20.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,,0.0,-0.0029935064046011832
Felipe Jaque,20.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,,0.0,0.0013785209591416427
Claudio Raddatz Kiefer,20.0,0.0,5.0,15.0,0.0,0.25,0.75,-0.25,-1.0,0.25,-0.14884627629403285
María Elena Ovalle Molina,17.0,11.0,0.0,6.0,0.6470588235294118,0.0,0.35294117647058826,0.6470588235294118,1.0,0.6470588235294118,0.5652687220948985
Mario Marcel Cullell,15.0,2.0,1.0,12.0,0.13333333333333333,0.06666666666666667,0.8,0.06666666666666667,0.3333333333333333,0.2,0.04901002422138669
María Olivia Recart Herrera,14.0,0.0,1.0,13.0,0.0,0.07142857142857142,0.9285714285714286,-0.07142857142857142,-1.0,0.07142857142857142,-0.04709662488808887
Alejandro Micco,12.0,0.0,8.0,4.0,0.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,-1.0,0.6666666666666666,-0.47679570757639356
Luis Opazo Roco,11.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,,0.0,-0.0049128377939661036
Enrique Orellana Cifuentes,7.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,,0.0,-0.009515398657283942
Miguel Ángel Nacrur Gazali,7.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,,0.0,-0.022095037721308212
Camilo Carrasco Alfonso,4.0,2.0,0.0,2.0,0.5,0.0,0.5,0.5,1.0,0.5,0.4341870503000688
Jorge Pérez Etchegaray,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0057962991300441165
Leonardo Hernández Tagle,3.0,2.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3343164521305613
Luis Alberto Álvarez Vallejos,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.005538191999087085
Gloria Peña Tapia,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,-0.0018474893891528496
Alfredo Pistelli,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,-0.015563230827632706
Elías Albagli Iruretagoyena,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0027445110288821266
