anio,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
2005,675.0,113.0,0.0,562.0,0.1674074074074074,0.0,0.8325925925925926,0.1674074074074074,1.0,0.1674074074074074,0.1485333413437227
2006,676.0,74.0,6.0,596.0,0.10946745562130178,0.008875739644970414,0.8816568047337278,0.10059171597633136,0.85,0.11834319526627218,0.09418413779142817
2007,818.0,70.0,17.0,731.0,0.08557457212713937,0.02078239608801956,0.8936430317848411,0.0647921760391198,0.6091954022988506,0.10635696821515893,0.046208231633390426
2008,957.0,73.0,10.0,874.0,0.07628004179728318,0.01044932079414838,0.9132706374085684,0.06583072100313479,0.7590361445783133,0.08672936259143156,0.04421017099333221
2009,1093.0,4.0,91.0,998.0,0.0036596523330283625,0.08325709057639524,0.9130832570905764,-0.07959743824336687,-0.9157894736842105,0.08691674290942361,-0.0539390562617205
2010,1149.0,78.0,8.0,1063.0,0.06788511749347259,0.006962576153176675,0.9251523063533508,0.060922541340295906,0.813953488372093,0.07484769364664925,0.03549966321774814
2011,1062.0,59.0,15.0,988.0,0.05555555555555555,0.014124293785310734,0.9303201506591338,0.04143126177024482,0.5945945945945946,0.0696798493408663,0.02532801677254979
2012,909.0,0.0,16.0,893.0,0.0,0.0176017601760176,0.9823982398239824,-0.0176017601760176,-1.0,0.0176017601760176,-0.0285736128855929
2013,816.0,1.0,58.0,757.0,0.0012254901960784314,0.07107843137254902,0.9276960784313726,-0.06985294117647059,-0.9661016949152542,0.07230392156862746,-0.07338181893644902
2014,748.0,1.0,107.0,640.0,0.001336898395721925,0.14304812834224598,0.8556149732620321,-0.14171122994652408,-0.9814814814814815,0.1443850267379679,-0.11647241974184973
2015,821.0,26.0,32.0,763.0,0.031668696711327646,0.0389768574908648,0.9293544457978076,-0.007308160779537149,-0.10344827586206896,0.07064555420219244,-0.022613534345690134
