keywords_humano,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
actividad_interna,597.0,3.0,1.0,593.0,0.005025125628140704,0.0016750418760469012,0.9932998324958124,0.0033500837520938024,0.5,0.006700167504187605,-0.0038072686977189824
acuerdo_comunicado,1654.0,263.0,220.0,1171.0,0.15900846432889965,0.13301088270858524,0.7079806529625151,0.02599758162031439,0.08902691511387163,0.2920193470374849,0.007732085075778751
apertura_cierre,357.0,6.0,1.0,350.0,0.01680672268907563,0.0028011204481792717,0.9803921568627451,0.014005602240896359,0.7142857142857143,0.0196078431372549,0.010359037008995018
debate,1768.0,3.0,7.0,1758.0,0.0016968325791855204,0.003959276018099547,0.994343891402715,-0.0022624434389140274,-0.4,0.005656108597285068,-0.006327882536138599
decision_tpm,441.0,109.0,59.0,273.0,0.2471655328798186,0.13378684807256236,0.6190476190476191,0.11337868480725624,0.2976190476190476,0.38095238095238093,0.08797199323662704
escenario_internacional,1619.0,21.0,14.0,1584.0,0.012970969734403953,0.008647313156269302,0.9783817171093268,0.004323656578134651,0.2,0.021618282890673256,-0.0023825792622495464
inflacion,647.0,13.0,9.0,625.0,0.02009273570324575,0.013910355486862442,0.9659969088098919,0.0061823802163833074,0.18181818181818182,0.03400309119010819,0.0031257407370193654
mercado_laboral,485.0,5.0,2.0,478.0,0.010309278350515464,0.004123711340206186,0.9855670103092784,0.006185567010309278,0.42857142857142855,0.01443298969072165,-0.001379352324981219
mercados_financieros,1245.0,21.0,18.0,1206.0,0.016867469879518072,0.014457831325301205,0.9686746987951808,0.0024096385542168677,0.07692307692307693,0.03132530120481928,-0.00605771269216383
opciones_tpm,397.0,22.0,21.0,354.0,0.055415617128463476,0.05289672544080604,0.8916876574307305,0.0025188916876574307,0.023255813953488372,0.10831234256926953,0.013157370123431416
otros,410.0,31.0,6.0,373.0,0.07560975609756097,0.014634146341463415,0.9097560975609756,0.06097560975609756,0.6756756756756757,0.09024390243902439,0.05939108271407517
politica_fiscal,76.0,0.0,2.0,74.0,0.0,0.02631578947368421,0.9736842105263158,-0.02631578947368421,-1.0,0.02631578947368421,-0.013178191842791611
riesgos,28.0,2.0,0.0,26.0,0.07142857142857142,0.0,0.9285714285714286,0.07142857142857142,1.0,0.07142857142857142,0.03141115229885314
