meeting_id,fecha,anio,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
RPM-2005-01-11,2005-01-11,2005,58.0,13.0,0.0,45.0,0.22413793103448276,0.0,0.7758620689655172,0.22413793103448276,1.0,0.22413793103448276,0.19225477029901425
RPM-2005-02-10,2005-02-10,2005,82.0,12.0,0.0,70.0,0.14634146341463414,0.0,0.8536585365853658,0.14634146341463414,1.0,0.14634146341463414,0.14894288686842633
RPM-2005-03-10,2005-03-10,2005,62.0,9.0,0.0,53.0,0.14516129032258066,0.0,0.8548387096774194,0.14516129032258066,1.0,0.14516129032258066,0.12894977691321047
RPM-2005-04-07,2005-04-07,2005,60.0,8.0,0.0,52.0,0.13333333333333333,0.0,0.8666666666666667,0.13333333333333333,1.0,0.13333333333333333,0.12587460474129986
RPM-2005-05-12,2005-05-12,2005,60.0,13.0,0.0,47.0,0.21666666666666667,0.0,0.7833333333333333,0.21666666666666667,1.0,0.21666666666666667,0.2019609520074013
RPM-2005-06-09,2005-06-09,2005,38.0,9.0,0.0,29.0,0.23684210526315788,0.0,0.7631578947368421,0.23684210526315788,1.0,0.23684210526315788,0.21134361468586105
RPM-2005-07-12,2005-07-12,2005,52.0,8.0,0.0,44.0,0.15384615384615385,0.0,0.8461538461538461,0.15384615384615385,1.0,0.15384615384615385,0.15215218772178019
RPM-2005-08-11,2005-08-11,2005,56.0,10.0,0.0,46.0,0.17857142857142858,0.0,0.8214285714285714,0.17857142857142858,1.0,0.17857142857142858,0.1515432989624647
RPM-2005-09-08,2005-09-08,2005,34.0,8.0,0.0,26.0,0.23529411764705882,0.0,0.7647058823529411,0.23529411764705882,1.0,0.23529411764705882,0.18618420625967638
RPM-2005-10-11,2005-10-11,2005,50.0,9.0,0.0,41.0,0.18,0.0,0.82,0.18,1.0,0.18,0.13709298095301353
RPM-2005-11-10,2005-11-10,2005,58.0,8.0,0.0,50.0,0.13793103448275862,0.0,0.8620689655172413,0.13793103448275862,1.0,0.13793103448275862,0.11620593059539468
RPM-2005-12-13,2005-12-13,2005,65.0,6.0,0.0,59.0,0.09230769230769231,0.0,0.9076923076923077,0.09230769230769231,1.0,0.09230769230769231,0.07502523902172392
