topico_humano,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
actividad_interna,608.0,2.0,1.0,605.0,0.003289473684210526,0.001644736842105263,0.9950657894736842,0.001644736842105263,0.3333333333333333,0.004934210526315789,-0.003911041688501407
acuerdo_comunicado,1761.0,270.0,220.0,1271.0,0.15332197614991483,0.1249290176036343,0.7217490062464509,0.028392958546280524,0.10204081632653061,0.2782509937535491,0.010939043676091373
apertura_cierre,216.0,3.0,1.0,212.0,0.013888888888888888,0.004629629629629629,0.9814814814814815,0.009259259259259259,0.5,0.018518518518518517,0.0077642494238148235
debate,1685.0,2.0,5.0,1678.0,0.0011869436201780415,0.002967359050445104,0.9958456973293769,-0.0017804154302670622,-0.42857142857142855,0.004154302670623145,-0.0058618352194009845
decision_tpm,446.0,112.0,59.0,275.0,0.25112107623318386,0.13228699551569506,0.6165919282511211,0.11883408071748879,0.30994152046783624,0.3834080717488789,0.09035489088076568
escenario_internacional,1659.0,23.0,15.0,1621.0,0.013863773357444244,0.009041591320072333,0.9770946353224834,0.004822182037371911,0.21052631578947367,0.022905364677516575,-0.0021918014140394878
inflacion,717.0,20.0,9.0,688.0,0.02789400278940028,0.012552301255230125,0.9595536959553695,0.015341701534170154,0.3793103448275862,0.040446304044630406,0.009319127681496325
mercado_laboral,505.0,5.0,2.0,498.0,0.009900990099009901,0.0039603960396039604,0.9861386138613861,0.005940594059405941,0.42857142857142855,0.013861386138613862,-0.0007655472516447823
mercados_financieros,1263.0,24.0,18.0,1221.0,0.019002375296912115,0.014251781472684086,0.9667458432304038,0.004750593824228029,0.14285714285714285,0.0332541567695962,-0.004084154963428477
opciones_tpm,422.0,20.0,22.0,380.0,0.04739336492890995,0.052132701421800945,0.9004739336492891,-0.004739336492890996,-0.047619047619047616,0.0995260663507109,0.009661361885623413
otros,225.0,13.0,2.0,210.0,0.057777777777777775,0.008888888888888889,0.9333333333333333,0.04888888888888889,0.7333333333333333,0.06666666666666667,0.04707861223797979
politica_fiscal,88.0,2.0,2.0,84.0,0.022727272727272728,0.022727272727272728,0.9545454545454546,0.0,0.0,0.045454545454545456,0.0064939090136398765
riesgos,129.0,3.0,4.0,122.0,0.023255813953488372,0.031007751937984496,0.9457364341085271,-0.007751937984496124,-0.14285714285714285,0.05426356589147287,-0.003859804787002368
