ngram,conteo_hawkish,conteo_dovish,log_odds,z_score,distintivo_de
alza,711,173,1.0708396206673587,12.649577239425021,hawkish
normalizacion,516,88,1.424938941784319,12.379500039303013,hawkish
aumento,670,161,1.083266584231585,12.359815668355845,hawkish
de normalizacion,316,20,2.4094867780623543,10.504307782981874,hawkish
alza de,312,40,1.7088256689190633,10.201477888147018,hawkish
un aumento,326,48,1.5710748349313617,10.18542408303473,hawkish
un alza,288,21,2.269241486774141,10.084821737664717,hawkish
subir,307,44,1.5978953620519363,9.93584774874072,hawkish
aumento de,338,66,1.2898795729911425,9.601665385676846,hawkish
el senor,1005,408,0.5600758982111236,9.549872245389453,hawkish
aumentar,267,38,1.6048264182072156,9.277852485265853,hawkish
inflacionaria,308,63,1.243579560297266,9.00862375644867,hawkish
normalizacion de,247,37,1.5538451169244905,8.834281212480564,hawkish
de 25 puntos,255,42,1.459376175371741,8.781588804201684,hawkish
aumentos,222,26,1.7986998557134122,8.70222196016225,hawkish
consejero que,223,27,1.7656390099024648,8.688827815965247,hawkish
de 25,287,59,1.238556583290448,8.67896136817593,hawkish
subir la,217,25,1.8150416645623455,8.618524001015125,hawkish
de 25 puntos base,248,42,1.4316447901465956,8.597122482148086,hawkish
el senor consejero que,214,25,1.8011960002866907,8.546263058361676,hawkish
senor consejero que,217,27,1.7385044671471306,8.541941746850144,hawkish
precio,420,126,0.8617004840459579,8.493521905539893,hawkish
alzas,237,40,1.4350420731578026,8.411979510273147,hawkish
precios,906,387,0.5092235866126673,8.393114381528768,hawkish
el senor consejero,244,44,1.3690985890096314,8.374840051406428,hawkish
25,747,302,0.5640967354217361,8.280176281600678,hawkish
25 puntos,573,210,0.6619896324856525,8.21482436435708,hawkish
aumentar la,204,9,2.765756613337924,8.18060920445709,hawkish
normalizacion de la,199,25,1.7289037713390556,8.169527667358961,hawkish
senor consejero,250,51,1.2461885950110148,8.12426440609942,hawkish
ritmo,284,68,1.0865326455969244,8.059626710232001,hawkish
25 puntos base,563,209,0.6491721811504867,8.022603698932503,hawkish
senala el,316,84,0.9822931992531148,8.01251225504894,hawkish
alimentos,193,25,1.6984410243759172,8.011079118772363,hawkish
un alza de,211,7,3.045974805431788,8.006868674365784,hawkish
un aumento de,190,24,1.7234635058915337,7.9767391363721245,hawkish
del petroleo,268,65,1.0736880451904653,7.776834717448252,hawkish
costos,261,62,1.0944106268716371,7.757639826631248,hawkish
petroleo,296,79,0.9782737150320209,7.7352906119763665,hawkish
rango meta,175,25,1.6009937191071195,7.505569038025672,hawkish
senala el senor,198,37,1.3335537885224653,7.459346276861287,hawkish
subir la tasa,155,10,2.3903022218186365,7.363685171281645,hawkish
los costos,161,20,1.7400435842014392,7.358955884427323,hawkish
normalizacion de la politica,154,16,1.917685588161417,7.324238915090537,hawkish
ipc,244,61,1.04344516796254,7.299381070753052,hawkish
encima,172,27,1.5071563880439545,7.296426080586134,hawkish
por encima,171,27,1.5013490534711753,7.265344202419847,hawkish
del rango meta,148,16,1.878185232040897,7.158863184048015,hawkish
ipcx1,146,16,1.864659637707966,7.102278677834693,hawkish
de normalizacion de,140,9,2.393820434930152,6.9969940641605435,hawkish
