ngram,n_palabras,ocurrencias,intervenciones,reuniones
politica,1,9369,3023,132
inflacion,1,9155,2531,132
monetaria,1,7668,2698,132
politica monetaria,2,7481,2665,132
de politica,2,6816,2508,132
tasa,1,6490,2296,132
crecimiento,1,5708,2213,132
mes,1,5707,2103,132
de politica monetaria,3,5697,2324,132
la tasa,2,5102,2018,132
la inflacion,2,4967,1958,132
tasas,1,4842,2101,132
tasa de,2,4630,1827,132
mayor,1,4477,2165,132
escenario,1,4461,1923,132
mercado,1,4434,2139,132
meses,1,4251,2051,132
parte,1,4199,2231,132
precios,1,4089,1948,132
expectativas,1,4008,1781,132
la tasa de,3,3825,1650,132
pero,1,3799,2354,132
base,1,3702,1547,132
actividad,1,3660,1780,132
reunion,1,3639,1952,132
ultimo,1,3599,1962,132
plazo,1,3380,1713,132
precio,1,3333,1486,132
ello,1,3168,2003,132
tanto,1,3125,1977,132
de inflacion,2,3063,1554,132
algo,1,3030,1703,132
division,1,3009,1985,132
economia,1,2993,1584,132
trimestre,1,2980,1283,132
puntos,1,2978,1241,132
cambio,1,2974,1754,132
muy,1,2956,1953,132
aumento,1,2955,1550,132
alza,1,2947,1567,132
economias,1,2941,1252,132
de division,2,2918,1928,132
demanda,1,2862,1604,132
bien,1,2831,1763,132
estados,1,2789,1403,131
unidos,1,2785,1402,131
estados unidos,2,2779,1398,131
caso,1,2754,1639,132
las expectativas,2,2679,1441,132
tasas de,2,2668,1456,132
don,1,2651,313,132
analisis,1,2642,1961,132
tasa de politica,3,2602,1173,132
america,1,2596,1172,132
baja,1,2563,1475,130
ipom,1,2558,1397,130
puntos base,2,2531,1050,131
menor,1,2461,1411,132
tasa de politica monetaria,4,2458,1126,132
las tasas,2,2455,1320,132
mes de,2,2413,1117,132
importante,1,2360,1518,132
cuenta,1,2351,1532,132
anual,1,2325,1021,132
anterior,1,2315,1456,132
la economia,2,2310,1291,132
el mercado,2,2306,1459,132
sin,1,2277,1410,132
la tasa de politica,4,2277,991,130
los precios,2,2260,1397,132
ser,1,2234,1509,132
hacia,1,2232,1336,132
de crecimiento,2,2230,1333,132
gerente de division,3,2198,1497,132
de america,2,2191,1061,121
nivel,1,2182,1351,132
riesgo,1,2144,1300,132
consumo,1,2140,1132,132
cuanto,1,2128,1526,132
niveles,1,2112,1226,132
estados unidos de,3,2105,1029,115
unidos de,2,2105,1029,115
bastante,1,2092,1314,132
caida,1,2083,1279,131
la actividad,2,2077,1277,132
estados unidos de america,4,2077,1005,104
unidos de america,3,2077,1005,104
interes,1,2062,1191,132
internacional,1,2061,1481,132
ese,1,2053,1543,132
el escenario,2,2030,1197,132
