ngram,n_palabras,ocurrencias,intervenciones,reuniones
de,1,142524,8894,132
que,1,101272,8250,132
en,1,80443,7240,132
la,1,76662,8432,132
el,1,75943,9637,132
se,1,36388,6886,132
los,1,31627,5858,132
del,1,29710,6276,132
las,1,29362,5720,132
por,1,21959,5309,132
un,1,19937,5007,132
senor,1,17876,8970,132
lo,1,17586,4944,132
de la,2,17584,4589,132
una,1,16488,4612,132
con,1,16447,4824,132
en el,2,16335,4389,132
es,1,12683,4602,132
no,1,12477,4659,132
al,1,12465,4856,132
mas,1,12073,4004,132
para,1,11646,4396,132
que se,2,10861,4295,132
su,1,10621,3728,132
que la,2,9966,3724,132
que el,2,9721,3834,132
ha,1,9641,3447,132
politica,1,9369,3023,132
de los,2,9192,3638,132
esta,1,9161,3890,132
inflacion,1,9155,2531,132
monetaria,1,7668,2698,132
politica monetaria,2,7481,2665,132
el senor,2,7281,3656,132
que en,2,7160,3240,132
han,1,7068,2641,132
en la,2,6964,3050,132
lo que,2,6879,3261,132
de politica,2,6816,2508,132
este,1,6531,3079,132
tasa,1,6490,2296,132
senala,1,6427,3730,132
como,1,6411,2963,132
de las,2,6231,2850,132
ano,1,6173,2573,132
respecto,1,6068,3014,132
gerente,1,5712,3106,132
crecimiento,1,5708,2213,132
mes,1,5707,2103,132
de politica monetaria,3,5697,2324,132
que las,2,5655,2428,132
si,1,5482,3123,132
senala que,2,5153,3481,132
la tasa,2,5102,2018,132
sobre,1,5013,2726,132
la inflacion,2,4967,1958,132
tambien,1,4951,2655,132
en los,2,4890,2411,132
tasas,1,4842,2101,132
gerente de,2,4664,2854,132
tasa de,2,4630,1827,132
indica,1,4559,2593,132
mayor,1,4477,2165,132
escenario,1,4461,1923,132
mercado,1,4434,2139,132
agrega,1,4335,2800,132
que los,2,4266,2273,132
meses,1,4251,2051,132
consejero,1,4234,2503,132
parte,1,4199,2231,132
hace,1,4178,2410,132
precios,1,4089,1948,132
expectativas,1,4008,1781,132
la tasa de,3,3825,1650,132
pero,1,3799,2354,132
indica que,2,3722,2407,132
base,1,3702,1547,132
actividad,1,3660,1780,132
consejero senor,2,3646,2455,132
reunion,1,3639,1952,132
agrega que,2,3608,2541,132
ultimo,1,3599,1962,132
se ha,2,3430,1953,132
plazo,1,3380,1713,132
precio,1,3333,1486,132
por el,2,3272,2090,132
presidente,1,3192,2458,132
en las,2,3186,1756,132
ello,1,3168,2003,132
el consejero,2,3166,2136,132
tanto,1,3125,1977,132
el consejero senor,3,3112,2109,132
de inflacion,2,3063,1554,132
presente,1,3047,2072,132
algo,1,3030,1703,132
division,1,3009,1985,132
economia,1,2993,1584,132
trimestre,1,2980,1283,132
puntos,1,2978,1241,132
son,1,2975,1885,132
cambio,1,2974,1754,132
muy,1,2956,1953,132
aumento,1,2955,1550,132
alza,1,2947,1567,132
economias,1,2941,1252,132
de division,2,2918,1928,132
demanda,1,2862,1604,132
