tipo_actor,actor,n_intervenciones,muestra_apta_radar,actividad_demanda_ciclo,entorno_externo_commodities_economias,inflacion_expectativas_meta,mercado_laboral_empleo,tasas_interes_plazos,tipo_cambio_real_nominal
consejo_institucional,Consejo del Banco Central de Chile,503,False,,,,,,
hacienda_gobierno,Alberto Arenas de Mesa,21,False,,,,,,
hacienda_gobierno,Alejandro Micco,12,False,,,,,,
hacienda_gobierno,Andrés Velasco Brañes,222,False,,,,,,
hacienda_gobierno,Claudio Soto Gamboa,7,False,,,,,,
hacienda_gobierno,Felipe Larraín Bascuñán,56,False,,,,,,
hacienda_gobierno,Igal Magendzo Weinberger,4,False,,,,,,
hacienda_gobierno,Juan Pablo Araya Marco,1,False,,,,,,
hacienda_gobierno,Julio Dittborn Cordua,2,False,,,,,,
hacienda_gobierno,Luis Felipe Céspedes Cifuentes,2,False,,,,,,
hacienda_gobierno,Mario Marcel Cullell,5,False,,,,,,
hacienda_gobierno,María Olivia Recart Herrera,4,False,,,,,,
hacienda_gobierno,Miguel Ángel Nacrur Gazali,7,False,,,,,,
hacienda_gobierno,Nicolás Eyzaguirre Guzmán,78,False,,,,,,
hacienda_gobierno,Pablo Mattar Oyarzún,1,False,,,,,,
hacienda_gobierno,Rodrigo Cerda Norambuena,20,False,,,,,,
hacienda_gobierno,Rodrigo Valdés Pulido,15,False,,,,,,
hacienda_gobierno,Rodrigo Álvarez Zenteno,1,False,,,,,,
miembro_consejo,Enrique Marshall Rivera,483,True,0.0,37.5,37.5,100.0,100.0,0.0
miembro_consejo,Joaquín Vial Ruiz-Tagle,231,True,50.0,75.0,62.5,87.5,50.0,12.5
miembro_consejo,Jorge Desormeaux Jiménez,221,True,75.0,87.5,12.5,0.0,25.0,62.5
miembro_consejo,José De Gregorio Rebeco,1047,True,25.0,50.0,87.5,37.5,37.5,75.0
miembro_consejo,Manuel Marfán Lewis,855,True,37.5,12.5,25.0,12.5,87.5,100.0
miembro_consejo,Mario Marcel Cullell,10,False,,,,,,
miembro_consejo,María Elena Ovalle Molina,17,False,,,,,,
miembro_consejo,Pablo García Silva,100,True,87.5,0.0,100.0,25.0,62.5,87.5
miembro_consejo,Rodrigo Vergara Montes,1026,True,100.0,62.5,50.0,62.5,12.5,25.0
miembro_consejo,Sebastián Claro Edwards,592,True,62.5,25.0,0.0,50.0,75.0,50.0
miembro_consejo,Vittorio Corbo Lioi,455,True,12.5,100.0,75.0,75.0,0.0,37.5
staff_tecnico,Alberto Naudon Dell'Oro,116,False,,,,,,
staff_tecnico,Alfredo Pistelli,2,False,,,,,,
staff_tecnico,Ari Aisen,1,False,,,,,,
staff_tecnico,Beltrán de Ramón Acevedo,183,False,,,,,,
staff_tecnico,Camilo Carrasco Alfonso,4,False,,,,,,
staff_tecnico,Claudio Raddatz Kiefer,20,False,,,,,,
staff_tecnico,Claudio Soto Gamboa,801,False,,,,,,
staff_tecnico,Diego Gianelli Gómez,62,False,,,,,,
staff_tecnico,Elías Albagli Iruretagoyena,2,False,,,,,,
staff_tecnico,Enrique Orellana Cifuentes,7,False,,,,,,
staff_tecnico,Esteban Jadresic Marinovic,87,False,,,,,,
staff_tecnico,Felipe Jaque,20,False,,,,,,
staff_tecnico,Gloria Peña Tapia,2,False,,,,,,
staff_tecnico,Igal Magendzo Weinberger,136,False,,,,,,
staff_tecnico,Jorge Pérez Etchegaray,3,False,,,,,,
staff_tecnico,Kevin Cowan Logan,116,False,,,,,,
staff_tecnico,Klaus Schmidt-Hebbel Dunker,40,False,,,,,,
staff_tecnico,Leonardo Hernández Tagle,3,False,,,,,,
staff_tecnico,Luis Alberto Álvarez Vallejos,2,False,,,,,,
staff_tecnico,Luis Felipe Céspedes Cifuentes,22,False,,,,,,
staff_tecnico,Luis Opazo Roco,11,False,,,,,,
staff_tecnico,Luis Óscar Herrera Barriga,302,False,,,,,,
staff_tecnico,María Eugenia Wagner Brizzi,1,False,,,,,,
staff_tecnico,María Olivia Recart Herrera,10,False,,,,,,
staff_tecnico,Matías Bernier Bórquez,45,False,,,,,,
staff_tecnico,Miguel Fuentes Díaz,205,False,,,,,,
staff_tecnico,Miguel Ricaurte Bermúdez,21,False,,,,,,
staff_tecnico,Pablo García Silva,465,False,,,,,,
staff_tecnico,Pablo Pincheira Brown,1,False,,,,,,
staff_tecnico,Ricardo Vicuña Poblete,44,False,,,,,,
staff_tecnico,Rodrigo Alfaro,1,False,,,,,,
staff_tecnico,Rodrigo Valdés Pulido,200,False,,,,,,
staff_tecnico,Sergio Lehmann Beresi,791,False,,,,,,
