k,topico_local,terminos_top5,terminos_top20,prevalencia
6,k6_tema_01,politica | monetaria | politica monetaria | tasa | tasa politica,politica | monetaria | politica monetaria | tasa | tasa politica | mantener | mantener tasa | tasa interes | anual | interes | interes politica | comunicado | acordo | mensual politica | monetaria 25 | monetaria acordo | mensual | nivel | estrategia | acordo mantener,0.11098043029536578
6,k6_tema_02,inflacion | plazo | expectativas | cambio | tipo,inflacion | plazo | expectativas | cambio | tipo | tipo cambio | corto | expectativas inflacion | corto plazo | meta | meses | mediano | largo | mediano plazo | precios | largo plazo | torno | tasas | rango | ipc,0.21552166290942987
6,k6_tema_03,estados | unidos | estados unidos | america | unidos america,estados | unidos | estados unidos | america | unidos america | europa | euro | economias | zona | zona euro | tasas | japon | tasas interes | interes | emergentes | latina | america latina | china | indicadores | economias emergentes,0.07521022801142327
6,k6_tema_04,division | estudios | division estudios | gerencia | gerencia division,division | estudios | division estudios | gerencia | gerencia division | presentacion | opciones | ministro | hacienda | ministro hacienda | opciones politica | estudios opciones | operaciones | division operaciones | operaciones financieras | financieras | minuta | division politica | politica financiera | financiera,0.07140462399190396
6,k6_tema_05,puntos | base | puntos base | 25 | 25 puntos,puntos | base | puntos base | 25 | 25 puntos | 50 | 50 puntos | tasa | tpm | monetaria 25 | alza | subir | tpm 25 | aumento | 75 | tasa politica | alza 25 | aumentar | mercado | opcion,0.06496406656481239
6,k6_tema_06,crecimiento | trimestre | mes | actividad | demanda,crecimiento | trimestre | mes | actividad | demanda | ultimo | precio | mayor | consumo | algo | economia | menor | segundo | desaceleracion | ipom | economias | cuenta | primer | interna | meses,0.46103129067084125
8,k8_tema_01,politica | monetaria | politica monetaria | tasa | tasa politica,politica | monetaria | politica monetaria | tasa | tasa politica | mantener | mantener tasa | tasa interes | interes | anual | interes politica | comunicado | acordo | mensual politica | monetaria 25 | monetaria acordo | mensual | nivel | estrategia | acordo mantener,0.10542956176938462
8,k8_tema_02,inflacion | expectativas | plazo | expectativas inflacion | corto,inflacion | expectativas | plazo | expectativas inflacion | corto | corto plazo | meta | meses | mediano | mediano plazo | torno | ipc | rango | subyacente | precios | medidas | horizonte | largo | mercado | largo plazo,0.1722254938158965
8,k8_tema_03,estados | unidos | estados unidos | america | unidos america,estados | unidos | estados unidos | america | unidos america | europa | euro | economias | zona | zona euro | tasas | japon | tasas interes | interes | emergentes | latina | america latina | china | indicadores | economias emergentes,0.07095716223980376
8,k8_tema_04,division | estudios | division estudios | gerencia | gerencia division,division | estudios | division estudios | gerencia | gerencia division | opciones | ministro | hacienda | ministro hacienda | opciones politica | estudios opciones | operaciones | division operaciones | operaciones financieras | financieras | minuta | division politica | politica financiera | financiera | exposicion,0.05628595376310586
8,k8_tema_05,puntos | base | puntos base | 25 | 25 puntos,puntos | base | puntos base | 25 | 25 puntos | 50 | 50 puntos | tasa | tpm | monetaria 25 | alza | subir | tpm 25 | aumento | 75 | tasa politica | alza 25 | aumentar | mercado | opcion,0.061640235812626946
8,k8_tema_06,crecimiento | trimestre | mes | actividad | demanda,crecimiento | trimestre | mes | actividad | demanda | ultimo | mayor | consumo | precio | algo | economia | menor | desaceleracion | segundo | primer | ipom | economias | cuenta | interna | dinamismo,0.4162304291383404
