topico_modelo,nombre_auditado,tipo_componente,confianza_nombre,etiqueta_automatica_top5,terminos_top20,peso_medio_corpus,origen
tema_nmf_01,"Actividad, demanda y crecimiento trimestral",economico,alta,trimestre | crecimiento | demanda | actividad | interna,trimestre | crecimiento | demanda | actividad | interna | segundo | primer | demanda interna | consumo | primer trimestre | inversion | desaceleracion | pib | segundo trimestre | menor | tercer | mayor | tercer trimestre | dinamismo | algo,0.12120557914736063,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_02,"Mercado laboral, empleo y salarios",economico,alta,mercado | laboral | mercado laboral | meses | empleo,mercado | laboral | mercado laboral | meses | empleo | tasa | desempleo | ultimos | cuenta | salarios | ultimos meses | tasa desempleo | dinamismo | creacion | proximos | tasas | asalariado | trabajo | sin | proximos meses,0.10231092453089119,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_03,"Precios de commodities: petróleo, cobre y alimentos",economico,alta,precio | petroleo | cobre | precio petroleo | precios,precio | petroleo | cobre | precio petroleo | precios | precio cobre | caida | commodities | aumento | gasolina | alza | alimentos | us | combustibles | caida precio | internacional | mayor | importante | primas | materias,0.08195814216698016,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_04,Proceso técnico del staff y opciones de política,institucional_documental,media,division | estudios | division estudios | gerencia | gerencia division,division | estudios | division estudios | gerencia | gerencia division | opciones | opciones politica | estudios opciones | operaciones | operaciones financieras | division operaciones | minuta | financieras | division politica | politica financiera | financiera | opcion | solicita division | solicita | politica,0.08141930519259903,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_05,"Decisión, mantención y acuerdo de TPM",decision_formal,alta,politica | monetaria | politica monetaria | tasa | tasa politica,politica | monetaria | politica monetaria | tasa | tasa politica | mantener | mantener tasa | tasa interes | anual | interes politica | comunicado | interes | acordo | mensual politica | monetaria 25 | monetaria acordo | mensual | nivel | estrategia | acordo mantener,0.07702751238578652,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_06,Participación de Hacienda y secuencia de sesión,institucional_documental,alta,ministro | hacienda | ministro hacienda | exposicion | da,ministro | hacienda | ministro hacienda | exposicion | da | votacion | subrogante | hacienda subrogante | asesor | reanuda politica | reanuda | 16 | incorporandose | da paso | paso | habiendo | 16 00 | 00 | informa ministro | asistira,0.07583985970610789,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_07,Coyuntura reciente y comparación con el último IPoM,temporal_documental,media,mes | ultimo | ultimo mes | ipom | registro,mes | ultimo | ultimo mes | ipom | registro | ultimo ipom | diciembre | septiembre | anterior | variacion | enero | pasado | mes anterior | marzo | mayo | noticias | mes septiembre | mes enero | junio | octubre,0.0710179989007333,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_08,"Economías emergentes, desarrolladas y mercados globales",economico,alta,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas | mercados | financieros | mercados financieros | paises | riesgo | condiciones | europa | financieras | monedas | externo | internacional | america latina | latina | china | economia,0.06921682246082426,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_09,"Inflación, expectativas y meta",economico,alta,inflacion | expectativas | expectativas inflacion | meta | meses,inflacion | expectativas | expectativas inflacion | meta | meses | subyacente | rango | medidas | torno | horizonte | ipc | inflacion subyacente | anual | precios | inflacion anual | rango meta | inflacionarias | horizonte politica | proyecciones | baja,0.06628816534590966,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_10,Tipo de cambio real y nominal,economico,alta,cambio | tipo | tipo cambio | real | cambio real,cambio | tipo | tipo cambio | real | cambio real | apreciacion | depreciacion | dolar | nominal | peso | cambio nominal | apreciado | depreciacion tipo | nivel | apreciacion tipo | efectos | depreciado | proyeccion | mayor | podria,0.061265838667528494,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_11,Transición de presentaciones macroeconómicas,institucional_documental,alta,presentacion | macroeconomico | internacional | consultas | presentacion internacional,presentacion | macroeconomico | internacional | consultas | presentacion internacional | presentacion macroeconomico | presentacion refiriendose | refiriendose | internacional consultas | retoma presentacion | retoma | interno | presentacion division | lamina | presentacion externo | destacados | macroeconomico consultas | hechos destacados | presentacion senalando | macroeconomico presentacion,0.054346506378730196,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_12,Plazos y tasas de interés,economico_financiero,media,plazo | tasas | corto | interes | corto plazo,plazo | tasas | corto | interes | corto plazo | tasas interes | largo | largo plazo | mediano | mediano plazo | interes largo | mediano largo | bajas | inflacion corto | tasa interes | largas | anos | tasas largas | niveles | tasas crecimiento,0.0516163447970326,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_13,"Estados Unidos, zona euro y economías avanzadas",economico,alta,estados | unidos | estados unidos | america | unidos america,estados | unidos | estados unidos | america | unidos america | euro | zona | zona euro | europa | japon | indicadores | china | latina | america latina | economia | recuperacion | monetaria estados | crecimiento estados | america zona | economia estados,0.040919616860606564,NMF_solo_texto_sin_topico_humano_ni_keywords
tema_nmf_14,Magnitudes en puntos base: TPM y diferenciales,decision_financiero_mixto,media,puntos | base | puntos base | 25 | 25 puntos,puntos | base | puntos base | 25 | 25 puntos | 50 | 50 puntos | tasa | tpm | monetaria 25 | alza | tpm 25 | subir | 75 | aumento | tasa politica | alza 25 | aumentar | aumento 25 | vota,0.037340316408313055,NMF_solo_texto_sin_topico_humano_ni_keywords
