actor,topico_modelo,peso_medio,peso_total,n_dominante,ranking
Alberto Arenas de Mesa,tema_nmf_06,0.32672473485451486,6.861219431944812,10,1
Alberto Arenas de Mesa,tema_nmf_01,0.09831412389411372,2.064596601776388,2,2
Alberto Arenas de Mesa,tema_nmf_09,0.09392933996668723,1.9725161393004318,2,3
Alberto Arenas de Mesa,tema_nmf_02,0.08737284180237495,1.834829677849874,3,4
Alberto Arenas de Mesa,tema_nmf_10,0.07451642566809702,1.5648449390300374,3,5
Alberto Arenas de Mesa,tema_nmf_05,0.06943622118014285,1.458160644783,0,6
Alberto Arenas de Mesa,tema_nmf_07,0.053473294375417604,1.1229391818837697,0,7
Alberto Arenas de Mesa,tema_nmf_08,0.044411153768482224,0.9326342291381268,0,8
Alberto Arenas de Mesa,tema_nmf_03,0.043171109069803974,0.9065932904658834,1,9
Alberto Arenas de Mesa,tema_nmf_13,0.03786202346839355,0.7951024928362646,0,10
Alberto Arenas de Mesa,tema_nmf_12,0.030702295504216447,0.6447482055885454,0,11
Alberto Arenas de Mesa,tema_nmf_14,0.026736494636438537,0.5614663873652093,0,12
Alberto Arenas de Mesa,tema_nmf_04,0.012102140462363135,0.2541449497096258,0,13
Alberto Arenas de Mesa,tema_nmf_11,0.0012478013489538905,0.0262038283280317,0,14
Alberto Naudon Dell'Oro,tema_nmf_01,0.14937842241108443,17.327896999685795,17,1
Alberto Naudon Dell'Oro,tema_nmf_04,0.14395011308827296,16.698213118239664,16,2
Alberto Naudon Dell'Oro,tema_nmf_02,0.1374202088859427,15.940744230769353,16,3
Alberto Naudon Dell'Oro,tema_nmf_09,0.10730867055133582,12.447805783954955,16,4
Alberto Naudon Dell'Oro,tema_nmf_07,0.07645477210810878,8.868753564540619,3,5
Alberto Naudon Dell'Oro,tema_nmf_03,0.07567743903575083,8.778582928147097,9,6
Alberto Naudon Dell'Oro,tema_nmf_10,0.07296386451633642,8.463808283895025,10,7
Alberto Naudon Dell'Oro,tema_nmf_12,0.06703313462281578,7.775843616246631,8,8
Alberto Naudon Dell'Oro,tema_nmf_08,0.05852537951178745,6.788944023367344,10,9
Alberto Naudon Dell'Oro,tema_nmf_13,0.03567795117669765,4.138642336496927,7,10
Alberto Naudon Dell'Oro,tema_nmf_14,0.03529400730258934,4.094104847100363,3,11
Alberto Naudon Dell'Oro,tema_nmf_05,0.02381248782330715,2.7622485875036293,0,12
Alberto Naudon Dell'Oro,tema_nmf_11,0.011434559658765208,1.3264089204167642,1,13
