anio,topico_modelo,peso_medio,peso_total,n_dominante,ranking
2005,tema_nmf_06,0.11230641398013146,75.80682943658873,102,1
2005,tema_nmf_05,0.11190971766719482,75.5390594253565,78,2
2005,tema_nmf_01,0.1118057953475508,75.46891185959679,84,3
2005,tema_nmf_02,0.09885396012187615,66.72642308226641,59,4
2005,tema_nmf_03,0.07787942077254253,52.56860902146621,40,5
2005,tema_nmf_04,0.07575462924375596,51.134374739535275,54,6
2005,tema_nmf_09,0.07295239426644565,49.24286612985081,47,7
2005,tema_nmf_12,0.0675588950950925,45.602254189187434,52,8
2005,tema_nmf_10,0.06373606172892742,43.02184166702601,38,9
2005,tema_nmf_07,0.05170121066379272,34.898317198060084,22,10
2005,tema_nmf_14,0.05122229266109761,34.57504754624089,60,11
2005,tema_nmf_08,0.03388524715364877,22.87254182871292,12,12
2005,tema_nmf_13,0.027536458739716278,18.587109649308488,20,13
2005,tema_nmf_11,0.0162308358915607,10.955814226803472,7,14
2006,tema_nmf_04,0.11986704094691587,81.03011968011513,93,1
2006,tema_nmf_02,0.10758248512193483,72.72575994242794,74,2
2006,tema_nmf_01,0.10316747701724381,69.74121446365682,84,3
2006,tema_nmf_06,0.10219911920253641,69.08660458091461,92,4
2006,tema_nmf_03,0.0917631187330947,62.031868263572015,55,5
2006,tema_nmf_05,0.09031454437411304,61.052631996900416,54,6
2006,tema_nmf_09,0.06411806348240084,43.34381091410297,50,7
2006,tema_nmf_10,0.0608247645562845,41.11754084004832,40,8
2006,tema_nmf_07,0.05674235434534448,38.35783153745287,20,9
2006,tema_nmf_12,0.05084560513909559,34.37162907402862,26,10
2006,tema_nmf_13,0.04398069659561937,29.730950898638696,40,11
2006,tema_nmf_08,0.04000209275413086,27.04141470179246,16,12
2006,tema_nmf_11,0.03481695719270816,23.536263062270717,16,13
2006,tema_nmf_14,0.026379230834435538,17.832360044078424,16,14
2007,tema_nmf_01,0.10289730112975937,84.16999232414317,91,1
2007,tema_nmf_04,0.10052985349286178,82.23342015716094,104,2
2007,tema_nmf_03,0.09808004480255099,80.22947664848671,79,3
2007,tema_nmf_02,0.0936924112524922,76.64039240453862,66,4
2007,tema_nmf_06,0.08886582347346385,72.69224360129343,95,5
2007,tema_nmf_05,0.08350572396486905,68.30768220326289,66,6
2007,tema_nmf_09,0.06767688364754812,55.359690823694365,69,7
2007,tema_nmf_10,0.0651686430210288,53.30794999120156,51,8
2007,tema_nmf_08,0.059820302664936036,48.93300757991768,37,9
2007,tema_nmf_07,0.05947591770900031,48.651300685962255,18,10
2007,tema_nmf_13,0.048271612692739385,39.48617918266082,51,11
2007,tema_nmf_12,0.046724026416755285,38.22025360890582,25,12
2007,tema_nmf_14,0.0392671745719983,32.12054879989461,43,13
2007,tema_nmf_11,0.03868931783481316,31.64786198887716,23,14
2008,tema_nmf_03,0.10940553731190746,104.70109920749543,109,1
2008,tema_nmf_02,0.1034326729513954,98.98506801448539,95,2
2008,tema_nmf_01,0.10082963603988448,96.49396169016946,94,3
2008,tema_nmf_06,0.08971880233155213,85.86089383129539,103,4
2008,tema_nmf_04,0.08439282560567091,80.76393410462705,97,5
2008,tema_nmf_05,0.07631996361253811,73.03820517719898,72,6
2008,tema_nmf_10,0.0746960742372332,71.48414304503218,63,7
2008,tema_nmf_09,0.06692003717476838,64.04247557625334,67,8
2008,tema_nmf_08,0.0642498272329655,61.48708466194798,54,9
2008,tema_nmf_07,0.05669903336009509,54.260974925611,28,10
2008,tema_nmf_12,0.04809779717055952,46.02959189222546,35,11
2008,tema_nmf_13,0.04742579108421493,45.38648206759369,58,12
2008,tema_nmf_14,0.04153094460599863,39.74511398794069,56,13
2008,tema_nmf_11,0.027921600645897552,26.720971818123957,26,14
2009,tema_nmf_01,0.14599187330989213,159.5691175277121,191,1
2009,tema_nmf_02,0.10127834150368671,110.69722726352957,105,2
2009,tema_nmf_06,0.08820213656557714,96.40493526617581,114,3
2009,tema_nmf_04,0.08088169347641153,88.4036909697178,110,4
2009,tema_nmf_05,0.08018062068444864,87.63741840810236,94,5
2009,tema_nmf_07,0.07751698719043634,84.72606699914692,73,6
2009,tema_nmf_08,0.06904361452474465,75.4646706755459,68,7
2009,tema_nmf_03,0.06646721611139995,72.64866720976015,56,8
2009,tema_nmf_09,0.06359106923398397,69.50503867274448,60,9
2009,tema_nmf_10,0.057024499901074575,62.32777839187451,51,10
2009,tema_nmf_12,0.05207462360543828,56.917563600744046,51,11
2009,tema_nmf_14,0.044258423476381016,48.37445685968445,50,12
2009,tema_nmf_13,0.03525148277110623,38.52987066881911,43,13
2009,tema_nmf_11,0.03366285222913336,36.79349748644276,27,14
2010,tema_nmf_01,0.12637792088268804,145.20823109420854,170,1
2010,tema_nmf_02,0.11176025008415996,128.4125273466998,132,2
2010,tema_nmf_07,0.08915305233415192,102.43685713194056,89,3
2010,tema_nmf_08,0.0863626518887862,99.23068702021534,123,4
2010,tema_nmf_10,0.08092446279466095,92.98220775106543,83,5
2010,tema_nmf_03,0.07649623448119834,87.8941734188969,67,6
2010,tema_nmf_04,0.07108677981639704,81.67871000904019,87,7
