actor,topico_humano,n,proporcion_actor,ranking_actor
Alberto Arenas de Mesa,debate,7,0.3333333333333333,1
Alberto Arenas de Mesa,mercados_financieros,6,0.2857142857142857,2
Alberto Arenas de Mesa,acuerdo_comunicado,2,0.09523809523809523,3
Alberto Arenas de Mesa,escenario_internacional,2,0.09523809523809523,4
Alberto Arenas de Mesa,inflacion,2,0.09523809523809523,5
Alberto Arenas de Mesa,decision_tpm,1,0.047619047619047616,6
Alberto Arenas de Mesa,politica_fiscal,1,0.047619047619047616,7
Alberto Naudon Dell'Oro,debate,22,0.1896551724137931,1
Alberto Naudon Dell'Oro,escenario_internacional,22,0.1896551724137931,2
Alberto Naudon Dell'Oro,mercados_financieros,20,0.1724137931034483,3
Alberto Naudon Dell'Oro,mercado_laboral,15,0.12931034482758622,4
Alberto Naudon Dell'Oro,opciones_tpm,10,0.08620689655172414,5
Alberto Naudon Dell'Oro,acuerdo_comunicado,9,0.07758620689655173,6
Alberto Naudon Dell'Oro,actividad_interna,8,0.06896551724137931,7
Alberto Naudon Dell'Oro,inflacion,8,0.06896551724137931,8
Alberto Naudon Dell'Oro,otros,1,0.008620689655172414,9
Alberto Naudon Dell'Oro,politica_fiscal,1,0.008620689655172414,10
Alejandro Micco,decision_tpm,7,0.5833333333333334,1
Alejandro Micco,acuerdo_comunicado,3,0.25,2
Alejandro Micco,escenario_internacional,1,0.08333333333333333,3
Alejandro Micco,mercados_financieros,1,0.08333333333333333,4
Alfredo Pistelli,escenario_internacional,1,0.5,1
Alfredo Pistelli,mercados_financieros,1,0.5,2
Andrés Velasco Brañes,escenario_internacional,44,0.1981981981981982,1
Andrés Velasco Brañes,debate,34,0.15315315315315314,2
Andrés Velasco Brañes,inflacion,32,0.14414414414414414,3
Andrés Velasco Brañes,mercados_financieros,30,0.13513513513513514,4
Andrés Velasco Brañes,acuerdo_comunicado,27,0.12162162162162163,5
Andrés Velasco Brañes,actividad_interna,18,0.08108108108108109,6
