actor,n_intervenciones_sustantivas,ranking,ngram,conteo_actor,conteo_resto,log_odds,z_score
José De Gregorio Rebeco,799,1,agradece la presentacion,76,160,2.3770061484364353,17.07039256407287
José De Gregorio Rebeco,799,2,la presentacion,98,318,1.9449671275703935,16.844974289751026
José De Gregorio Rebeco,799,3,la presentacion del,75,186,2.2133299020523474,16.18971022845094
José De Gregorio Rebeco,799,4,presentacion del,75,192,2.181612212404896,16.030036319457317
José De Gregorio Rebeco,799,5,presente las opciones,37,22,3.640041465769242,13.526124629962842
José De Gregorio Rebeco,799,6,que presente las opciones,37,22,3.640041465769242,13.526124629962842
José De Gregorio Rebeco,799,7,agradece la presentacion del,56,159,2.078025718606346,13.380572425660526
José De Gregorio Rebeco,799,8,para el dia,34,29,3.2794821248882826,12.978789996856756
José De Gregorio Rebeco,799,9,la presentacion del gerente,38,60,2.6641429173963225,12.855426947036872
José De Gregorio Rebeco,799,10,presentacion del gerente,38,62,2.6313787823939583,12.777565494753073
José De Gregorio Rebeco,799,11,fija la,31,30,3.1532728460553905,12.31677528428918
José De Gregorio Rebeco,799,12,macroeconomico senor claudio soto,51,163,1.9597505449568837,12.222164444094492
José De Gregorio Rebeco,799,13,analisis macroeconomico senor claudio,51,164,1.9536416741049454,12.192967040324737
José De Gregorio Rebeco,799,14,macroeconomico senor claudio,51,164,1.9536416741049454,12.192967040324737
José De Gregorio Rebeco,799,15,tarde,30,28,3.189441205662183,12.14226152126961
José De Gregorio Rebeco,799,16,horas,62,255,1.7079622755963229,12.071348436892917
José De Gregorio Rebeco,799,17,la tarde,29,18,3.5970541205362156,11.992545206876802
José De Gregorio Rebeco,799,18,monetaria para,31,45,2.748103795498519,11.778307075854409
José De Gregorio Rebeco,799,19,politica monetaria para,31,45,2.748103795498519,11.778307075854409
José De Gregorio Rebeco,799,20,monetaria correspondiente,28,32,2.987046007721373,11.547303389306547
Rodrigo Vergara Montes,734,1,presentacion del,161,106,3.402645112448785,27.214329280007036
Rodrigo Vergara Montes,734,2,la presentacion del,159,102,3.4285765797595467,27.037392868466675
Rodrigo Vergara Montes,734,3,agradece la presentacion,151,85,3.5591106169229914,26.258321132516212
Rodrigo Vergara Montes,734,4,agradece la presentacion del,151,64,3.842626054478643,25.775421154835605
Rodrigo Vergara Montes,734,5,la presentacion,164,252,2.5557132663539646,25.483493254523548
Rodrigo Vergara Montes,734,6,del gerente de analisis,106,64,3.48875113800728,22.0478402219103
Rodrigo Vergara Montes,734,7,consultas,114,24,4.541155234898063,20.238342506651847
Rodrigo Vergara Montes,734,8,opciones de politica monetaria,85,64,3.267971235245388,19.753689590089632
Rodrigo Vergara Montes,734,9,las opciones de politica,85,73,3.1364890051858456,19.662792448917045
Rodrigo Vergara Montes,734,10,opciones de politica,85,74,3.1228929172367152,19.64909765911959
Rodrigo Vergara Montes,734,11,las opciones de,85,85,2.9844030677234077,19.46297056026579
Rodrigo Vergara Montes,734,12,opciones de,85,95,2.873254119985665,19.25161443703844
Rodrigo Vergara Montes,734,13,las opciones,91,146,2.5120333278325724,18.815818797422423
Rodrigo Vergara Montes,734,14,exposicion del,79,30,3.9518103093458112,18.437180964849357
Rodrigo Vergara Montes,734,15,presentacion,167,674,1.5909413275712874,18.419559495879746
Rodrigo Vergara Montes,734,16,la exposicion del,79,29,3.9856746466624386,18.36733684776262
Rodrigo Vergara Montes,734,17,la exposicion,79,105,2.7000442526823054,18.135672981955675
Rodrigo Vergara Montes,734,18,deja,72,72,2.984306324469837,17.91232657153284
