actor,n_intervenciones_sustantivas,ranking,ngram,ocurrencias
José De Gregorio Rebeco,799,1,politica,237
José De Gregorio Rebeco,799,2,monetaria,208
José De Gregorio Rebeco,799,3,politica monetaria,207
José De Gregorio Rebeco,799,4,escenario,149
José De Gregorio Rebeco,799,5,analisis,145
José De Gregorio Rebeco,799,6,inflacion,133
José De Gregorio Rebeco,799,7,division,114
José De Gregorio Rebeco,799,8,tasa,110
José De Gregorio Rebeco,799,9,internacional,100
José De Gregorio Rebeco,799,10,presentacion,100
José De Gregorio Rebeco,799,11,la presentacion,98
José De Gregorio Rebeco,799,12,mes,97
José De Gregorio Rebeco,799,13,estudios,81
José De Gregorio Rebeco,799,14,crecimiento,80
José De Gregorio Rebeco,799,15,division estudios,80
José De Gregorio Rebeco,799,16,la tasa,78
José De Gregorio Rebeco,799,17,agradece la presentacion,76
José De Gregorio Rebeco,799,18,la presentacion del,75
José De Gregorio Rebeco,799,19,presentacion del,75
José De Gregorio Rebeco,799,20,comenta,74
Rodrigo Vergara Montes,734,1,politica,276
Rodrigo Vergara Montes,734,2,monetaria,249
Rodrigo Vergara Montes,734,3,politica monetaria,247
Rodrigo Vergara Montes,734,4,de politica,238
Rodrigo Vergara Montes,734,5,de politica monetaria,226
Rodrigo Vergara Montes,734,6,analisis,189
Rodrigo Vergara Montes,734,7,escenario,175
Rodrigo Vergara Montes,734,8,presentacion,167
Rodrigo Vergara Montes,734,9,mes,166
Rodrigo Vergara Montes,734,10,la presentacion,164
Rodrigo Vergara Montes,734,11,presentacion del,161
Rodrigo Vergara Montes,734,12,la presentacion del,159
Rodrigo Vergara Montes,734,13,agradece la presentacion,151
Rodrigo Vergara Montes,734,14,agradece la presentacion del,151
Rodrigo Vergara Montes,734,15,de analisis,134
Rodrigo Vergara Montes,734,16,gerente de analisis,133
Rodrigo Vergara Montes,734,17,crecimiento,131
Rodrigo Vergara Montes,734,18,internacional,120
Rodrigo Vergara Montes,734,19,inflacion,117
Rodrigo Vergara Montes,734,20,division,115
Manuel Marfán Lewis,680,1,tasa,228
Manuel Marfán Lewis,680,2,politica,194
Manuel Marfán Lewis,680,3,inflacion,185
Manuel Marfán Lewis,680,4,cambio,183
Manuel Marfán Lewis,680,5,la tasa,160
Manuel Marfán Lewis,680,6,ese,156
Manuel Marfán Lewis,680,7,tasa de,151
Manuel Marfán Lewis,680,8,efectos,150
Manuel Marfán Lewis,680,9,tipo,148
Manuel Marfán Lewis,680,10,tipo de,134
Manuel Marfán Lewis,680,11,crecimiento,133
Manuel Marfán Lewis,680,12,escenario,131
Manuel Marfán Lewis,680,13,monetaria,129
Manuel Marfán Lewis,680,14,plazo,127
Manuel Marfán Lewis,680,15,politica monetaria,125
