intervencion_id,meeting_id,fecha,actor,cargo,anio,flag_texto_danado,topico_humano,keywords_humano,orden_habla,subindice,pred_miembro_1,pred_miembro_2,pred_miembro_3,pred_miembro_4,pred_miembro_5,prediccion_v3,prob_h_no_calibrada,prob_d_no_calibrada,prob_n_no_calibrada,score_hd_continuo,pred_relevancia_v3,prob_relevancia_no_calibrada,acuerdo_relevancia_miembros,acuerdo_miembros,usado_en_entrenamiento,rol
RPM-2005-01-11:1:1,RPM-2005-01-11,2005-01-11,Consejo del Banco Central de Chile,Consejo,2005,False,apertura_cierre,apertura_cierre,1,1,neutral,neutral,neutral,neutral,neutral,neutral,0.00147127399155587,0.0007531012097524826,0.9977756247986918,0.0007181727818033873,0,0.027125603284326467,unanime,unanime,True,entrenamiento
RPM-2005-01-11:2:1,RPM-2005-01-11,2005-01-11,Vittorio Corbo Lioi,Presidente del Banco Central,2005,False,apertura_cierre,apertura_cierre,2,1,neutral,neutral,neutral,neutral,neutral,neutral,0.0012704587607706825,0.0012485438329408699,0.9974809974062884,2.1914927829812594e-05,0,0.031520663029479576,unanime,unanime,True,entrenamiento
RPM-2005-01-11:3:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,2005,False,otros,otros,3,1,neutral,neutral,neutral,neutral,neutral,neutral,0.22632342419328116,0.08714719656229089,0.6865293792444279,0.13917622763099027,1,0.9962031438066974,unanime,unanime,True,entrenamiento
RPM-2005-01-11:4:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,2005,False,mercado_laboral,actividad_interna,4,1,neutral,neutral,neutral,neutral,neutral,neutral,0.25405392528924964,0.042340951271775285,0.7036051234389751,0.21171297401747435,1,0.9947010376344284,unanime,unanime,True,entrenamiento
RPM-2005-01-11:5:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,2005,False,inflacion,inflacion,5,1,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,0.838320070036818,0.04171429993872128,0.11996563002446062,0.7966057700980966,1,0.9971288830074686,unanime,unanime,True,entrenamiento
RPM-2005-01-11:6:1,RPM-2005-01-11,2005-01-11,Vittorio Corbo Lioi,Presidente del Banco Central,2005,False,apertura_cierre,debate,6,1,neutral,neutral,neutral,neutral,neutral,neutral,6.646094049231877e-05,7.408837462199823e-05,0.9998594506848857,-7.627434129679457e-06,0,0.008998522844336599,unanime,unanime,True,entrenamiento
RPM-2005-01-11:7:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,2005,False,escenario_internacional,otros,7,1,neutral,neutral,neutral,neutral,neutral,neutral,0.011063887741029349,0.010584109420586628,0.9783520028383841,0.0004797783204427211,1,0.8551075297386938,unanime,unanime,True,entrenamiento
RPM-2005-01-11:8:1,RPM-2005-01-11,2005-01-11,Sergio Lehmann Beresi,Gerente de Análisis Internacional,2005,False,escenario_internacional,escenario_internacional,8,1,neutral,neutral,neutral,neutral,neutral,neutral,0.008606095373523557,0.00948187768625331,0.9819120269402232,-0.0008757823127297538,1,0.9273055068736197,unanime,unanime,True,entrenamiento
RPM-2005-01-11:9:1,RPM-2005-01-11,2005-01-11,Rodrigo Valdés Pulido,Gerente de División Estudios,2005,False,otros,otros,9,1,neutral,neutral,neutral,neutral,neutral,neutral,0.00997311554273495,0.010253911082539875,0.9797729733747251,-0.00028079553980492507,1,0.8226561404118191,unanime,unanime,True,entrenamiento
RPM-2005-01-11:10:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,2005,False,inflacion,inflacion,10,1,neutral,neutral,neutral,neutral,neutral,neutral,0.013794704207624181,0.01131286789998048,0.9748924278923955,0.0024818363076437016,1,0.8628666204674259,unanime,unanime,True,entrenamiento
RPM-2005-01-11:11:1,RPM-2005-01-11,2005-01-11,José De Gregorio Rebeco,Vicepresidente del Banco Central,2005,False,riesgos,riesgos,11,1,neutral,neutral,neutral,neutral,neutral,neutral,0.04075830388293832,0.02359288801308711,0.9356488081039747,0.01716541586985121,1,0.9687727677512719,unanime,unanime,True,entrenamiento
RPM-2005-01-11:12:1,RPM-2005-01-11,2005-01-11,Manuel Marfán Lewis,Consejero,2005,False,mercados_financieros,mercados_financieros,12,1,neutral,neutral,neutral,neutral,neutral,neutral,0.026668107582279915,0.012573285130915143,0.9607586072868048,0.014094822451364772,1,0.9275172156557998,unanime,unanime,True,entrenamiento
RPM-2005-01-11:13:1,RPM-2005-01-11,2005-01-11,Luis Óscar Herrera Barriga,Gerente de División Política Financiera,2005,False,actividad_interna,mercados_financieros,13,1,neutral,neutral,neutral,neutral,neutral,neutral,0.032103848433273886,0.030692665015870847,0.9372034865508553,0.001411183417403039,1,0.9507077222674439,unanime,unanime,True,entrenamiento
RPM-2005-01-11:14:1,RPM-2005-01-11,2005-01-11,Esteban Jadresic Marinovic,Gerente de División Internacional,2005,False,inflacion,inflacion,14,1,neutral,neutral,neutral,neutral,neutral,neutral,0.03711498889392235,0.031000285067433946,0.9318847260386436,0.006114703826488401,1,0.9404195843146527,unanime,unanime,True,entrenamiento
RPM-2005-01-11:15:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,2005,False,otros,otros,15,1,neutral,neutral,neutral,neutral,neutral,neutral,0.022657533232998663,0.02423084310351318,0.9531116236634881,-0.0015733098705145165,1,0.911818176102169,unanime,unanime,True,entrenamiento
RPM-2005-01-11:16:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,2005,False,actividad_interna,actividad_interna,16,1,neutral,neutral,neutral,neutral,neutral,neutral,0.011071505714050743,0.017344416302294087,0.9715840779836553,-0.006272910588243344,1,0.8782316944299803,unanime,unanime,True,entrenamiento
RPM-2005-01-11:17:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,2005,False,otros,actividad_interna,17,1,neutral,neutral,neutral,neutral,neutral,neutral,0.01679620779326844,0.015399331307270388,0.9678044608994611,0.0013968764859980526,1,0.8408444636802204,unanime,unanime,True,entrenamiento
